"","Dataset","DefectNum","ModuleNum","ImbLevel","ImbGroup","Metrics","Classifier","ImbLearner","ImbLearnerType","MCC","dset","bMCC","dMCC"
"16351","poi-2.0",37,314,7.48648648648649,"M&H IR","NET+PROC","C4.5","Y","OBag",0.2665,"poi-2.0",0.2931,-0.0266
"16352","synapse-1.0",16,157,8.8125,"M&H IR","NET+PROC","C4.5","Y","OBag",0.3174,"synapse-1.0",0.0024,0.315
"16353","synapse-1.1",60,222,2.7,"Low IR","NET+PROC","C4.5","Y","OBag",0.3581,"synapse-1.1",0.3573,0.000799999999999967
"16354","synapse-1.2",86,256,1.97674418604651,"Low IR","NET+PROC","C4.5","Y","OBag",0.472,"synapse-1.2",0.3594,0.1126
"16355","velocity-1.6",78,229,1.93589743589744,"Low IR","NET+PROC","C4.5","Y","OBag",0.442,"velocity-1.6",0.3716,0.0704
"16356","xerces-1.2",71,440,5.19718309859155,"M&H IR","NET+PROC","C4.5","Y","OBag",0.6236,"xerces-1.2",0.6311,-0.00749999999999995
"16357","xerces-1.3",69,453,5.56521739130435,"M&H IR","NET+PROC","C4.5","Y","OBag",0.4053,"xerces-1.3",0.4007,0.00459999999999999
"16358","Eclipse_JDT_Core",206,997,3.83980582524272,"Low IR","NET+PROC","C4.5","Y","OBag",0.4562,"Eclipse_JDT_Core",0.4101,0.0461
"16359","Eclipse_PDE_UI",209,1497,6.16267942583732,"M&H IR","NET+PROC","C4.5","Y","OBag",0.2512,"Eclipse_PDE_UI",0.1971,0.0541
"16360","Equinox_Framework",129,324,1.51162790697674,"Low IR","NET+PROC","C4.5","Y","OBag",0.4668,"Equinox_Framework",0.4371,0.0297
"16361","Lucene",64,691,9.796875,"M&H IR","NET+PROC","C4.5","Y","OBag",0.282,"Lucene",0.2501,0.0319
"16362","Mylyn",245,1862,6.6,"M&H IR","NET+PROC","C4.5","Y","OBag",0.1944,"Mylyn",0.1646,0.0298
"16363","ant-1.3",20,125,5.25,"M&H IR","NET+PROC","C4.5","Y","UOBag",0.286,"ant-1.3",0.1249,0.1611
"16364","ant-1.4",40,178,3.45,"Low IR","NET+PROC","C4.5","Y","UOBag",0.4562,"ant-1.4",0.3572,0.099
"16365","ant-1.5",32,293,8.15625,"M&H IR","NET+PROC","C4.5","Y","UOBag",0.445,"ant-1.5",0.2919,0.1531
"16366","ant-1.6",92,351,2.81521739130435,"Low IR","NET+PROC","C4.5","Y","UOBag",0.4024,"ant-1.6",0.3159,0.0865
"16367","camel-1.0",13,339,25.0769230769231,"M&H IR","NET+PROC","C4.5","Y","UOBag",0.0909,"camel-1.0",-0.0074,0.0983
"16368","camel-1.2",216,608,1.81481481481481,"Low IR","NET+PROC","C4.5","Y","UOBag",0.4568,"camel-1.2",0.4013,0.0555
"16369","camel-1.4",145,872,5.01379310344828,"M&H IR","NET+PROC","C4.5","Y","UOBag",0.4034,"camel-1.4",0.3354,0.068
"16370","camel-1.6",188,965,4.13297872340426,"M&H IR","NET+PROC","C4.5","Y","UOBag",0.4427,"camel-1.6",0.3964,0.0463
"16371","ivy-2.0",40,352,7.8,"M&H IR","NET+PROC","C4.5","Y","UOBag",0.324,"ivy-2.0",0.2231,0.1009
"16372","jedit-3.2",90,272,2.02222222222222,"Low IR","NET+PROC","C4.5","Y","UOBag",0.6636,"jedit-3.2",0.6443,0.0193
"16373","jedit-4.0",75,306,3.08,"Low IR","NET+PROC","C4.5","Y","UOBag",0.4833,"jedit-4.0",0.3725,0.1108
"16374","jedit-4.1",79,312,2.9493670886076,"Low IR","NET+PROC","C4.5","Y","UOBag",0.4501,"jedit-4.1",0.3733,0.0768
"16375","jedit-4.2",48,367,6.64583333333333,"M&H IR","NET+PROC","C4.5","Y","UOBag",0.4568,"jedit-4.2",0.4607,-0.00390000000000001
"16376","jedit-4.3",11,492,43.7272727272727,"M&H IR","NET+PROC","C4.5","Y","UOBag",0.3393,"jedit-4.3",-0.0015,0.3408
"16377","log4j-1.0",34,135,2.97058823529412,"Low IR","NET+PROC","C4.5","Y","UOBag",0.5907,"log4j-1.0",0.4603,0.1304
"16378","poi-2.0",37,314,7.48648648648649,"M&H IR","NET+PROC","C4.5","Y","UOBag",0.2991,"poi-2.0",0.2931,0.00599999999999995
"16379","synapse-1.0",16,157,8.8125,"M&H IR","NET+PROC","C4.5","Y","UOBag",0.2896,"synapse-1.0",0.0024,0.2872
"16380","synapse-1.1",60,222,2.7,"Low IR","NET+PROC","C4.5","Y","UOBag",0.3914,"synapse-1.1",0.3573,0.0341
"16381","synapse-1.2",86,256,1.97674418604651,"Low IR","NET+PROC","C4.5","Y","UOBag",0.4328,"synapse-1.2",0.3594,0.0734
"16382","velocity-1.6",78,229,1.93589743589744,"Low IR","NET+PROC","C4.5","Y","UOBag",0.4266,"velocity-1.6",0.3716,0.055
"16383","xerces-1.2",71,440,5.19718309859155,"M&H IR","NET+PROC","C4.5","Y","UOBag",0.6655,"xerces-1.2",0.6311,0.0344
"16384","xerces-1.3",69,453,5.56521739130435,"M&H IR","NET+PROC","C4.5","Y","UOBag",0.4539,"xerces-1.3",0.4007,0.0532
"16385","Eclipse_JDT_Core",206,997,3.83980582524272,"Low IR","NET+PROC","C4.5","Y","UOBag",0.4722,"Eclipse_JDT_Core",0.4101,0.0621
"16386","Eclipse_PDE_UI",209,1497,6.16267942583732,"M&H IR","NET+PROC","C4.5","Y","UOBag",0.3014,"Eclipse_PDE_UI",0.1971,0.1043
"16387","Equinox_Framework",129,324,1.51162790697674,"Low IR","NET+PROC","C4.5","Y","UOBag",0.4778,"Equinox_Framework",0.4371,0.0407
"16388","Lucene",64,691,9.796875,"M&H IR","NET+PROC","C4.5","Y","UOBag",0.3466,"Lucene",0.2501,0.0965
"16389","Mylyn",245,1862,6.6,"M&H IR","NET+PROC","C4.5","Y","UOBag",0.2699,"Mylyn",0.1646,0.1053
"16390","ant-1.3",20,125,5.25,"M&H IR","NET+PROC","C4.5","Y","SBag",0.2021,"ant-1.3",0.1249,0.0772
"16391","ant-1.4",40,178,3.45,"Low IR","NET+PROC","C4.5","Y","SBag",0.5093,"ant-1.4",0.3572,0.1521
"16392","ant-1.5",32,293,8.15625,"M&H IR","NET+PROC","C4.5","Y","SBag",0.3329,"ant-1.5",0.2919,0.041
"16393","ant-1.6",92,351,2.81521739130435,"Low IR","NET+PROC","C4.5","Y","SBag",0.377,"ant-1.6",0.3159,0.0611
"16394","camel-1.0",13,339,25.0769230769231,"M&H IR","NET+PROC","C4.5","Y","SBag",0.0312,"camel-1.0",-0.0074,0.0386
"16395","camel-1.2",216,608,1.81481481481481,"Low IR","NET+PROC","C4.5","Y","SBag",0.4531,"camel-1.2",0.4013,0.0518
"16396","camel-1.4",145,872,5.01379310344828,"M&H IR","NET+PROC","C4.5","Y","SBag",0.3979,"camel-1.4",0.3354,0.0625
"16397","camel-1.6",188,965,4.13297872340426,"M&H IR","NET+PROC","C4.5","Y","SBag",0.4402,"camel-1.6",0.3964,0.0438
"16398","ivy-2.0",40,352,7.8,"M&H IR","NET+PROC","C4.5","Y","SBag",0.262,"ivy-2.0",0.2231,0.0389
"16399","jedit-3.2",90,272,2.02222222222222,"Low IR","NET+PROC","C4.5","Y","SBag",0.6323,"jedit-3.2",0.6443,-0.012
"16400","jedit-4.0",75,306,3.08,"Low IR","NET+PROC","C4.5","Y","SBag",0.4286,"jedit-4.0",0.3725,0.0561
"16401","jedit-4.1",79,312,2.9493670886076,"Low IR","NET+PROC","C4.5","Y","SBag",0.4335,"jedit-4.1",0.3733,0.0602
"16402","jedit-4.2",48,367,6.64583333333333,"M&H IR","NET+PROC","C4.5","Y","SBag",0.453,"jedit-4.2",0.4607,-0.00769999999999998
"16403","jedit-4.3",11,492,43.7272727272727,"M&H IR","NET+PROC","C4.5","Y","SBag",0.2374,"jedit-4.3",-0.0015,0.2389
"16404","log4j-1.0",34,135,2.97058823529412,"Low IR","NET+PROC","C4.5","Y","SBag",0.573,"log4j-1.0",0.4603,0.1127
"16405","poi-2.0",37,314,7.48648648648649,"M&H IR","NET+PROC","C4.5","Y","SBag",0.2637,"poi-2.0",0.2931,-0.0294
"16406","synapse-1.0",16,157,8.8125,"M&H IR","NET+PROC","C4.5","Y","SBag",0.2971,"synapse-1.0",0.0024,0.2947
"16407","synapse-1.1",60,222,2.7,"Low IR","NET+PROC","C4.5","Y","SBag",0.4123,"synapse-1.1",0.3573,0.055
"16408","synapse-1.2",86,256,1.97674418604651,"Low IR","NET+PROC","C4.5","Y","SBag",0.436,"synapse-1.2",0.3594,0.0766
"16409","velocity-1.6",78,229,1.93589743589744,"Low IR","NET+PROC","C4.5","Y","SBag",0.4482,"velocity-1.6",0.3716,0.0766
"16410","xerces-1.2",71,440,5.19718309859155,"M&H IR","NET+PROC","C4.5","Y","SBag",0.638,"xerces-1.2",0.6311,0.00690000000000002
"16411","xerces-1.3",69,453,5.56521739130435,"M&H IR","NET+PROC","C4.5","Y","SBag",0.4289,"xerces-1.3",0.4007,0.0282
"16412","Eclipse_JDT_Core",206,997,3.83980582524272,"Low IR","NET+PROC","C4.5","Y","SBag",0.4675,"Eclipse_JDT_Core",0.4101,0.0574
"16413","Eclipse_PDE_UI",209,1497,6.16267942583732,"M&H IR","NET+PROC","C4.5","Y","SBag",0.2732,"Eclipse_PDE_UI",0.1971,0.0761
"16414","Equinox_Framework",129,324,1.51162790697674,"Low IR","NET+PROC","C4.5","Y","SBag",0.4611,"Equinox_Framework",0.4371,0.024
"16415","Lucene",64,691,9.796875,"M&H IR","NET+PROC","C4.5","Y","SBag",0.2923,"Lucene",0.2501,0.0422
"16416","Mylyn",245,1862,6.6,"M&H IR","NET+PROC","C4.5","Y","SBag",0.2614,"Mylyn",0.1646,0.0968
"16417","ant-1.3",20,125,5.25,"M&H IR","NET+PROC","C4.5","Y","UBst",0.2504,"ant-1.3",0.1249,0.1255
"16418","ant-1.4",40,178,3.45,"Low IR","NET+PROC","C4.5","Y","UBst",0.4334,"ant-1.4",0.3572,0.0762
"16419","ant-1.5",32,293,8.15625,"M&H IR","NET+PROC","C4.5","Y","UBst",0.281,"ant-1.5",0.2919,-0.0109
"16420","ant-1.6",92,351,2.81521739130435,"Low IR","NET+PROC","C4.5","Y","UBst",0.3203,"ant-1.6",0.3159,0.00439999999999996
"16421","camel-1.0",13,339,25.0769230769231,"M&H IR","NET+PROC","C4.5","Y","UBst",0.1841,"camel-1.0",-0.0074,0.1915
"16422","camel-1.2",216,608,1.81481481481481,"Low IR","NET+PROC","C4.5","Y","UBst",0.3912,"camel-1.2",0.4013,-0.0101
"16423","camel-1.4",145,872,5.01379310344828,"M&H IR","NET+PROC","C4.5","Y","UBst",0.3384,"camel-1.4",0.3354,0.003
"16424","camel-1.6",188,965,4.13297872340426,"M&H IR","NET+PROC","C4.5","Y","UBst",0.3988,"camel-1.6",0.3964,0.00240000000000001
"16425","ivy-2.0",40,352,7.8,"M&H IR","NET+PROC","C4.5","Y","UBst",0.2889,"ivy-2.0",0.2231,0.0658
"16426","jedit-3.2",90,272,2.02222222222222,"Low IR","NET+PROC","C4.5","Y","UBst",0.6053,"jedit-3.2",0.6443,-0.039
"16427","jedit-4.0",75,306,3.08,"Low IR","NET+PROC","C4.5","Y","UBst",0.4291,"jedit-4.0",0.3725,0.0566
"16428","jedit-4.1",79,312,2.9493670886076,"Low IR","NET+PROC","C4.5","Y","UBst",0.4064,"jedit-4.1",0.3733,0.0331
"16429","jedit-4.2",48,367,6.64583333333333,"M&H IR","NET+PROC","C4.5","Y","UBst",0.3954,"jedit-4.2",0.4607,-0.0653
"16430","jedit-4.3",11,492,43.7272727272727,"M&H IR","NET+PROC","C4.5","Y","UBst",0.1948,"jedit-4.3",-0.0015,0.1963
"16431","log4j-1.0",34,135,2.97058823529412,"Low IR","NET+PROC","C4.5","Y","UBst",0.5092,"log4j-1.0",0.4603,0.0489
"16432","poi-2.0",37,314,7.48648648648649,"M&H IR","NET+PROC","C4.5","Y","UBst",0.2403,"poi-2.0",0.2931,-0.0528
"16433","synapse-1.0",16,157,8.8125,"M&H IR","NET+PROC","C4.5","Y","UBst",0.177,"synapse-1.0",0.0024,0.1746
"16434","synapse-1.1",60,222,2.7,"Low IR","NET+PROC","C4.5","Y","UBst",0.3302,"synapse-1.1",0.3573,-0.0271
"16435","synapse-1.2",86,256,1.97674418604651,"Low IR","NET+PROC","C4.5","Y","UBst",0.4164,"synapse-1.2",0.3594,0.057
"16436","velocity-1.6",78,229,1.93589743589744,"Low IR","NET+PROC","C4.5","Y","UBst",0.4285,"velocity-1.6",0.3716,0.0569
"16437","xerces-1.2",71,440,5.19718309859155,"M&H IR","NET+PROC","C4.5","Y","UBst",0.561,"xerces-1.2",0.6311,-0.0700999999999999
"16438","xerces-1.3",69,453,5.56521739130435,"M&H IR","NET+PROC","C4.5","Y","UBst",0.3864,"xerces-1.3",0.4007,-0.0143
"16439","Eclipse_JDT_Core",206,997,3.83980582524272,"Low IR","NET+PROC","C4.5","Y","UBst",0.3896,"Eclipse_JDT_Core",0.4101,-0.0205
"16440","Eclipse_PDE_UI",209,1497,6.16267942583732,"M&H IR","NET+PROC","C4.5","Y","UBst",0.2096,"Eclipse_PDE_UI",0.1971,0.0125
"16441","Equinox_Framework",129,324,1.51162790697674,"Low IR","NET+PROC","C4.5","Y","UBst",0.4495,"Equinox_Framework",0.4371,0.0124
"16442","Lucene",64,691,9.796875,"M&H IR","NET+PROC","C4.5","Y","UBst",0.2352,"Lucene",0.2501,-0.0149
"16443","Mylyn",245,1862,6.6,"M&H IR","NET+PROC","C4.5","Y","UBst",0.23,"Mylyn",0.1646,0.0654
"16444","ant-1.3",20,125,5.25,"M&H IR","NET+PROC","C4.5","Y","OBst",0.1623,"ant-1.3",0.1249,0.0374
"16445","ant-1.4",40,178,3.45,"Low IR","NET+PROC","C4.5","Y","OBst",0.4327,"ant-1.4",0.3572,0.0755
"16446","ant-1.5",32,293,8.15625,"M&H IR","NET+PROC","C4.5","Y","OBst",0.2962,"ant-1.5",0.2919,0.00430000000000003
"16447","ant-1.6",92,351,2.81521739130435,"Low IR","NET+PROC","C4.5","Y","OBst",0.3276,"ant-1.6",0.3159,0.0117
"16448","camel-1.0",13,339,25.0769230769231,"M&H IR","NET+PROC","C4.5","Y","OBst",0.015,"camel-1.0",-0.0074,0.0224
"16449","camel-1.2",216,608,1.81481481481481,"Low IR","NET+PROC","C4.5","Y","OBst",0.4072,"camel-1.2",0.4013,0.00590000000000002
"16450","camel-1.4",145,872,5.01379310344828,"M&H IR","NET+PROC","C4.5","Y","OBst",0.324,"camel-1.4",0.3354,-0.0114
"16451","camel-1.6",188,965,4.13297872340426,"M&H IR","NET+PROC","C4.5","Y","OBst",0.3872,"camel-1.6",0.3964,-0.00919999999999999
"16452","ivy-2.0",40,352,7.8,"M&H IR","NET+PROC","C4.5","Y","OBst",0.2607,"ivy-2.0",0.2231,0.0376
"16453","jedit-3.2",90,272,2.02222222222222,"Low IR","NET+PROC","C4.5","Y","OBst",0.5841,"jedit-3.2",0.6443,-0.0602
"16454","jedit-4.0",75,306,3.08,"Low IR","NET+PROC","C4.5","Y","OBst",0.4257,"jedit-4.0",0.3725,0.0532
"16455","jedit-4.1",79,312,2.9493670886076,"Low IR","NET+PROC","C4.5","Y","OBst",0.4172,"jedit-4.1",0.3733,0.0439
"16456","jedit-4.2",48,367,6.64583333333333,"M&H IR","NET+PROC","C4.5","Y","OBst",0.4518,"jedit-4.2",0.4607,-0.00890000000000002
"16457","jedit-4.3",11,492,43.7272727272727,"M&H IR","NET+PROC","C4.5","Y","OBst",0.2264,"jedit-4.3",-0.0015,0.2279
"16458","log4j-1.0",34,135,2.97058823529412,"Low IR","NET+PROC","C4.5","Y","OBst",0.5112,"log4j-1.0",0.4603,0.0509
"16459","poi-2.0",37,314,7.48648648648649,"M&H IR","NET+PROC","C4.5","Y","OBst",0.2067,"poi-2.0",0.2931,-0.0864
"16460","synapse-1.0",16,157,8.8125,"M&H IR","NET+PROC","C4.5","Y","OBst",0.2255,"synapse-1.0",0.0024,0.2231
"16461","synapse-1.1",60,222,2.7,"Low IR","NET+PROC","C4.5","Y","OBst",0.3449,"synapse-1.1",0.3573,-0.0124
"16462","synapse-1.2",86,256,1.97674418604651,"Low IR","NET+PROC","C4.5","Y","OBst",0.4027,"synapse-1.2",0.3594,0.0433
"16463","velocity-1.6",78,229,1.93589743589744,"Low IR","NET+PROC","C4.5","Y","OBst",0.4322,"velocity-1.6",0.3716,0.0606
"16464","xerces-1.2",71,440,5.19718309859155,"M&H IR","NET+PROC","C4.5","Y","OBst",0.5933,"xerces-1.2",0.6311,-0.0377999999999999
"16465","xerces-1.3",69,453,5.56521739130435,"M&H IR","NET+PROC","C4.5","Y","OBst",0.4368,"xerces-1.3",0.4007,0.0361
"16466","Eclipse_JDT_Core",206,997,3.83980582524272,"Low IR","NET+PROC","C4.5","Y","OBst",0.4316,"Eclipse_JDT_Core",0.4101,0.0215
"16467","Eclipse_PDE_UI",209,1497,6.16267942583732,"M&H IR","NET+PROC","C4.5","Y","OBst",0.2201,"Eclipse_PDE_UI",0.1971,0.023
"16468","Equinox_Framework",129,324,1.51162790697674,"Low IR","NET+PROC","C4.5","Y","OBst",0.4309,"Equinox_Framework",0.4371,-0.00619999999999998
"16469","Lucene",64,691,9.796875,"M&H IR","NET+PROC","C4.5","Y","OBst",0.2933,"Lucene",0.2501,0.0432
"16470","Mylyn",245,1862,6.6,"M&H IR","NET+PROC","C4.5","Y","OBst",0.1933,"Mylyn",0.1646,0.0287
"16471","ant-1.3",20,125,5.25,"M&H IR","NET+PROC","C4.5","Y","UOBst",0.1525,"ant-1.3",0.1249,0.0276
"16472","ant-1.4",40,178,3.45,"Low IR","NET+PROC","C4.5","Y","UOBst",0.4372,"ant-1.4",0.3572,0.08
"16473","ant-1.5",32,293,8.15625,"M&H IR","NET+PROC","C4.5","Y","UOBst",0.3332,"ant-1.5",0.2919,0.0413
"16474","ant-1.6",92,351,2.81521739130435,"Low IR","NET+PROC","C4.5","Y","UOBst",0.3438,"ant-1.6",0.3159,0.0279
"16475","camel-1.0",13,339,25.0769230769231,"M&H IR","NET+PROC","C4.5","Y","UOBst",0.0364,"camel-1.0",-0.0074,0.0438
"16476","camel-1.2",216,608,1.81481481481481,"Low IR","NET+PROC","C4.5","Y","UOBst",0.4217,"camel-1.2",0.4013,0.0204
"16477","camel-1.4",145,872,5.01379310344828,"M&H IR","NET+PROC","C4.5","Y","UOBst",0.2878,"camel-1.4",0.3354,-0.0476
"16478","camel-1.6",188,965,4.13297872340426,"M&H IR","NET+PROC","C4.5","Y","UOBst",0.3693,"camel-1.6",0.3964,-0.0271
"16479","ivy-2.0",40,352,7.8,"M&H IR","NET+PROC","C4.5","Y","UOBst",0.236,"ivy-2.0",0.2231,0.0129
"16480","jedit-3.2",90,272,2.02222222222222,"Low IR","NET+PROC","C4.5","Y","UOBst",0.5842,"jedit-3.2",0.6443,-0.0600999999999999
"16481","jedit-4.0",75,306,3.08,"Low IR","NET+PROC","C4.5","Y","UOBst",0.4284,"jedit-4.0",0.3725,0.0559
"16482","jedit-4.1",79,312,2.9493670886076,"Low IR","NET+PROC","C4.5","Y","UOBst",0.4387,"jedit-4.1",0.3733,0.0654
"16483","jedit-4.2",48,367,6.64583333333333,"M&H IR","NET+PROC","C4.5","Y","UOBst",0.4325,"jedit-4.2",0.4607,-0.0282
"16484","jedit-4.3",11,492,43.7272727272727,"M&H IR","NET+PROC","C4.5","Y","UOBst",0.2278,"jedit-4.3",-0.0015,0.2293
"16485","log4j-1.0",34,135,2.97058823529412,"Low IR","NET+PROC","C4.5","Y","UOBst",0.503,"log4j-1.0",0.4603,0.0427
"16486","poi-2.0",37,314,7.48648648648649,"M&H IR","NET+PROC","C4.5","Y","UOBst",0.2068,"poi-2.0",0.2931,-0.0863
"16487","synapse-1.0",16,157,8.8125,"M&H IR","NET+PROC","C4.5","Y","UOBst",0.2083,"synapse-1.0",0.0024,0.2059
"16488","synapse-1.1",60,222,2.7,"Low IR","NET+PROC","C4.5","Y","UOBst",0.3346,"synapse-1.1",0.3573,-0.0227
"16489","synapse-1.2",86,256,1.97674418604651,"Low IR","NET+PROC","C4.5","Y","UOBst",0.381,"synapse-1.2",0.3594,0.0216
"16490","velocity-1.6",78,229,1.93589743589744,"Low IR","NET+PROC","C4.5","Y","UOBst",0.4393,"velocity-1.6",0.3716,0.0677
"16491","xerces-1.2",71,440,5.19718309859155,"M&H IR","NET+PROC","C4.5","Y","UOBst",0.593,"xerces-1.2",0.6311,-0.0381
"16492","xerces-1.3",69,453,5.56521739130435,"M&H IR","NET+PROC","C4.5","Y","UOBst",0.449,"xerces-1.3",0.4007,0.0483
"16493","Eclipse_JDT_Core",206,997,3.83980582524272,"Low IR","NET+PROC","C4.5","Y","UOBst",0.4246,"Eclipse_JDT_Core",0.4101,0.0145
"16494","Eclipse_PDE_UI",209,1497,6.16267942583732,"M&H IR","NET+PROC","C4.5","Y","UOBst",0.2236,"Eclipse_PDE_UI",0.1971,0.0265
"16495","Equinox_Framework",129,324,1.51162790697674,"Low IR","NET+PROC","C4.5","Y","UOBst",0.4157,"Equinox_Framework",0.4371,-0.0214
"16496","Lucene",64,691,9.796875,"M&H IR","NET+PROC","C4.5","Y","UOBst",0.2789,"Lucene",0.2501,0.0288
"16497","Mylyn",245,1862,6.6,"M&H IR","NET+PROC","C4.5","Y","UOBst",0.2079,"Mylyn",0.1646,0.0433
"16498","ant-1.3",20,125,5.25,"M&H IR","NET+PROC","C4.5","Y","SBst",0.2216,"ant-1.3",0.1249,0.0967
"16499","ant-1.4",40,178,3.45,"Low IR","NET+PROC","C4.5","Y","SBst",0.4607,"ant-1.4",0.3572,0.1035
"16500","ant-1.5",32,293,8.15625,"M&H IR","NET+PROC","C4.5","Y","SBst",0.3343,"ant-1.5",0.2919,0.0424
"16501","ant-1.6",92,351,2.81521739130435,"Low IR","NET+PROC","C4.5","Y","SBst",0.347,"ant-1.6",0.3159,0.0311
"16502","camel-1.0",13,339,25.0769230769231,"M&H IR","NET+PROC","C4.5","Y","SBst",0.0519,"camel-1.0",-0.0074,0.0593
"16503","camel-1.2",216,608,1.81481481481481,"Low IR","NET+PROC","C4.5","Y","SBst",0.4353,"camel-1.2",0.4013,0.034
"16504","camel-1.4",145,872,5.01379310344828,"M&H IR","NET+PROC","C4.5","Y","SBst",0.3502,"camel-1.4",0.3354,0.0148
"16505","camel-1.6",188,965,4.13297872340426,"M&H IR","NET+PROC","C4.5","Y","SBst",0.3816,"camel-1.6",0.3964,-0.0148
"16506","ivy-2.0",40,352,7.8,"M&H IR","NET+PROC","C4.5","Y","SBst",0.2226,"ivy-2.0",0.2231,-5e-04
"16507","jedit-3.2",90,272,2.02222222222222,"Low IR","NET+PROC","C4.5","Y","SBst",0.5583,"jedit-3.2",0.6443,-0.086
"16508","jedit-4.0",75,306,3.08,"Low IR","NET+PROC","C4.5","Y","SBst",0.4142,"jedit-4.0",0.3725,0.0417
"16509","jedit-4.1",79,312,2.9493670886076,"Low IR","NET+PROC","C4.5","Y","SBst",0.454,"jedit-4.1",0.3733,0.0807
"16510","jedit-4.2",48,367,6.64583333333333,"M&H IR","NET+PROC","C4.5","Y","SBst",0.3945,"jedit-4.2",0.4607,-0.0662
"16511","jedit-4.3",11,492,43.7272727272727,"M&H IR","NET+PROC","C4.5","Y","SBst",0.1814,"jedit-4.3",-0.0015,0.1829
"16512","log4j-1.0",34,135,2.97058823529412,"Low IR","NET+PROC","C4.5","Y","SBst",0.4954,"log4j-1.0",0.4603,0.0351
"16513","poi-2.0",37,314,7.48648648648649,"M&H IR","NET+PROC","C4.5","Y","SBst",0.1447,"poi-2.0",0.2931,-0.1484
"16514","synapse-1.0",16,157,8.8125,"M&H IR","NET+PROC","C4.5","Y","SBst",0.2143,"synapse-1.0",0.0024,0.2119
"16515","synapse-1.1",60,222,2.7,"Low IR","NET+PROC","C4.5","Y","SBst",0.364,"synapse-1.1",0.3573,0.00669999999999998
"16516","synapse-1.2",86,256,1.97674418604651,"Low IR","NET+PROC","C4.5","Y","SBst",0.4476,"synapse-1.2",0.3594,0.0882
"16517","velocity-1.6",78,229,1.93589743589744,"Low IR","NET+PROC","C4.5","Y","SBst",0.4558,"velocity-1.6",0.3716,0.0842
"16518","xerces-1.2",71,440,5.19718309859155,"M&H IR","NET+PROC","C4.5","Y","SBst",0.6013,"xerces-1.2",0.6311,-0.0298
"16519","xerces-1.3",69,453,5.56521739130435,"M&H IR","NET+PROC","C4.5","Y","SBst",0.4529,"xerces-1.3",0.4007,0.0522
"16520","Eclipse_JDT_Core",206,997,3.83980582524272,"Low IR","NET+PROC","C4.5","Y","SBst",0.4287,"Eclipse_JDT_Core",0.4101,0.0186
"16521","Eclipse_PDE_UI",209,1497,6.16267942583732,"M&H IR","NET+PROC","C4.5","Y","SBst",0.1835,"Eclipse_PDE_UI",0.1971,-0.0136
"16522","Equinox_Framework",129,324,1.51162790697674,"Low IR","NET+PROC","C4.5","Y","SBst",0.4408,"Equinox_Framework",0.4371,0.00370000000000004
"16523","Lucene",64,691,9.796875,"M&H IR","NET+PROC","C4.5","Y","SBst",0.2695,"Lucene",0.2501,0.0194
"16524","Mylyn",245,1862,6.6,"M&H IR","NET+PROC","C4.5","Y","SBst",0.2334,"Mylyn",0.1646,0.0688
"19306","ant-1.3",20,125,5.25,"M&H IR","CK+NET+PROC","C4.5","Y","Bag",0.1556,"ant-1.3",0.1396,0.016
"19307","ant-1.4",40,178,3.45,"Low IR","CK+NET+PROC","C4.5","Y","Bag",0.4534,"ant-1.4",0.3572,0.0962
"19308","ant-1.5",32,293,8.15625,"M&H IR","CK+NET+PROC","C4.5","Y","Bag",0.371,"ant-1.5",0.315,0.056
"19309","ant-1.6",92,351,2.81521739130435,"Low IR","CK+NET+PROC","C4.5","Y","Bag",0.4724,"ant-1.6",0.417,0.0554
"19310","camel-1.0",13,339,25.0769230769231,"M&H IR","CK+NET+PROC","C4.5","Y","Bag",0.0503,"camel-1.0",-0.0074,0.0577
"19311","camel-1.2",216,608,1.81481481481481,"Low IR","CK+NET+PROC","C4.5","Y","Bag",0.462,"camel-1.2",0.3928,0.0692
"19312","camel-1.4",145,872,5.01379310344828,"M&H IR","CK+NET+PROC","C4.5","Y","Bag",0.4607,"camel-1.4",0.3892,0.0715
"19313","camel-1.6",188,965,4.13297872340426,"M&H IR","CK+NET+PROC","C4.5","Y","Bag",0.4516,"camel-1.6",0.4161,0.0355
"19314","ivy-2.0",40,352,7.8,"M&H IR","CK+NET+PROC","C4.5","Y","Bag",0.2046,"ivy-2.0",0.2075,-0.00289999999999999
"19315","jedit-3.2",90,272,2.02222222222222,"Low IR","CK+NET+PROC","C4.5","Y","Bag",0.6311,"jedit-3.2",0.6197,0.0114
"19316","jedit-4.0",75,306,3.08,"Low IR","CK+NET+PROC","C4.5","Y","Bag",0.4662,"jedit-4.0",0.3872,0.079
"19317","jedit-4.1",79,312,2.9493670886076,"Low IR","CK+NET+PROC","C4.5","Y","Bag",0.4943,"jedit-4.1",0.3794,0.1149
"19318","jedit-4.2",48,367,6.64583333333333,"M&H IR","CK+NET+PROC","C4.5","Y","Bag",0.4453,"jedit-4.2",0.4579,-0.0126
"19319","jedit-4.3",11,492,43.7272727272727,"M&H IR","CK+NET+PROC","C4.5","Y","Bag",-9e-04,"jedit-4.3",-0.0013,4e-04
"19320","log4j-1.0",34,135,2.97058823529412,"Low IR","CK+NET+PROC","C4.5","Y","Bag",0.4877,"log4j-1.0",0.412,0.0757
"19321","poi-2.0",37,314,7.48648648648649,"M&H IR","CK+NET+PROC","C4.5","Y","Bag",0.2385,"poi-2.0",0.2608,-0.0223
