"","Dataset","DefectNum","ModuleNum","ImbLevel","ImbGroup","Metrics","Classifier","ImbLearner","ImbLearnerType","MCC","dset","bMCC","dMCC"
"335","jedit-4.0",75,306,3.08,"Low IR","CK","C4.5","Y","SBag",0.4096,"jedit-4.0",0.3875,0.0221
"336","jedit-4.1",79,312,2.9493670886076,"Low IR","CK","C4.5","Y","SBag",0.4485,"jedit-4.1",0.4463,0.00220000000000004
"337","jedit-4.2",48,367,6.64583333333333,"M&H IR","CK","C4.5","Y","SBag",0.3142,"jedit-4.2",0.0516,0.2626
"338","jedit-4.3",11,492,43.7272727272727,"M&H IR","CK","C4.5","Y","SBag",0.2156,"jedit-4.3",0,0.2156
"339","log4j-1.0",34,135,2.97058823529412,"Low IR","CK","C4.5","Y","SBag",0.4878,"log4j-1.0",0.4226,0.0652
"340","poi-2.0",37,314,7.48648648648649,"M&H IR","CK","C4.5","Y","SBag",0.2446,"poi-2.0",0.0231,0.2215
"341","synapse-1.0",16,157,8.8125,"M&H IR","CK","C4.5","Y","SBag",0.1346,"synapse-1.0",0.0136,0.121
"342","synapse-1.1",60,222,2.7,"Low IR","CK","C4.5","Y","SBag",0.3844,"synapse-1.1",0.3822,0.00220000000000004
"343","synapse-1.2",86,256,1.97674418604651,"Low IR","CK","C4.5","Y","SBag",0.4247,"synapse-1.2",0.462,-0.0373
"344","velocity-1.6",78,229,1.93589743589744,"Low IR","CK","C4.5","Y","SBag",0.2501,"velocity-1.6",0.2073,0.0428
"345","xerces-1.2",71,440,5.19718309859155,"M&H IR","CK","C4.5","Y","SBag",0.2814,"xerces-1.2",-0.0046,0.286
"346","xerces-1.3",69,453,5.56521739130435,"M&H IR","CK","C4.5","Y","SBag",0.3886,"xerces-1.3",0.3433,0.0453
"347","Eclipse_JDT_Core",206,997,3.83980582524272,"Low IR","CK","C4.5","Y","SBag",0.4516,"Eclipse_JDT_Core",0.4041,0.0475
"348","Eclipse_PDE_UI",209,1497,6.16267942583732,"M&H IR","CK","C4.5","Y","SBag",0.2322,"Eclipse_PDE_UI",0.0751,0.1571
"349","Equinox_Framework",129,324,1.51162790697674,"Low IR","CK","C4.5","Y","SBag",0.3727,"Equinox_Framework",0.3526,0.0201
"350","Lucene",64,691,9.796875,"M&H IR","CK","C4.5","Y","SBag",0.1448,"Lucene",0.0029,0.1419
"351","Mylyn",245,1862,6.6,"M&H IR","CK","C4.5","Y","SBag",0.268,"Mylyn",0.0139,0.2541
"352","ant-1.3",20,125,5.25,"M&H IR","CK","C4.5","Y","UBst",0.3077,"ant-1.3",-0.0098,0.3175
"353","ant-1.4",40,178,3.45,"Low IR","CK","C4.5","Y","UBst",0.0495,"ant-1.4",0,0.0495
"354","ant-1.5",32,293,8.15625,"M&H IR","CK","C4.5","Y","UBst",0.3466,"ant-1.5",0.3255,0.0211
"355","ant-1.6",92,351,2.81521739130435,"Low IR","CK","C4.5","Y","UBst",0.4314,"ant-1.6",0.4712,-0.0398
"356","camel-1.0",13,339,25.0769230769231,"M&H IR","CK","C4.5","Y","UBst",0.088,"camel-1.0",0,0.088
"357","camel-1.2",216,608,1.81481481481481,"Low IR","CK","C4.5","Y","UBst",0.0503,"camel-1.2",0.0254,0.0249
"358","camel-1.4",145,872,5.01379310344828,"M&H IR","CK","C4.5","Y","UBst",0.1756,"camel-1.4",0.0968,0.0788
"359","camel-1.6",188,965,4.13297872340426,"M&H IR","CK","C4.5","Y","UBst",0.1256,"camel-1.6",0.105,0.0206
"360","ivy-2.0",40,352,7.8,"M&H IR","CK","C4.5","Y","UBst",0.2874,"ivy-2.0",0.0938,0.1936
"361","jedit-3.2",90,272,2.02222222222222,"Low IR","CK","C4.5","Y","UBst",0.4254,"jedit-3.2",0.4465,-0.0211
"362","jedit-4.0",75,306,3.08,"Low IR","CK","C4.5","Y","UBst",0.3845,"jedit-4.0",0.3875,-0.003
"363","jedit-4.1",79,312,2.9493670886076,"Low IR","CK","C4.5","Y","UBst",0.3855,"jedit-4.1",0.4463,-0.0608
"364","jedit-4.2",48,367,6.64583333333333,"M&H IR","CK","C4.5","Y","UBst",0.3654,"jedit-4.2",0.0516,0.3138
"365","jedit-4.3",11,492,43.7272727272727,"M&H IR","CK","C4.5","Y","UBst",0.0929,"jedit-4.3",0,0.0929
"366","log4j-1.0",34,135,2.97058823529412,"Low IR","CK","C4.5","Y","UBst",0.426,"log4j-1.0",0.4226,0.00340000000000001
"367","poi-2.0",37,314,7.48648648648649,"M&H IR","CK","C4.5","Y","UBst",0.1513,"poi-2.0",0.0231,0.1282
"368","synapse-1.0",16,157,8.8125,"M&H IR","CK","C4.5","Y","UBst",0.2338,"synapse-1.0",0.0136,0.2202
"369","synapse-1.1",60,222,2.7,"Low IR","CK","C4.5","Y","UBst",0.2936,"synapse-1.1",0.3822,-0.0886
