Dataset,DefectNum,ModuleNum,DefectRate,ImbLevel,Metrics,Classifier,ImbLearner,ImbLearnerType,AUC,MCC
ant-1.3,20,125,0.16,5.25,CK,RF,Y,SBag,0.7189 ,0.3128 
ant-1.3,20,125,0.16,5.25,CK,Ripper,Y,SBag,0.7465 ,0.3325 
ant-1.3,20,125,0.16,5.25,CK,SVM,Y,SBag,0.7918 ,0.4548 
ant-1.3,20,125,0.16,5.25,CK,C4.5,Y,SBst,0.7761 ,0.3596 
ant-1.3,20,125,0.16,5.25,CK,IBk,Y,SBst,0.8041 ,0.4094 
ant-1.3,20,125,0.16,5.25,CK,LR,Y,SBst,0.8101 ,0.3456 
ant-1.3,20,125,0.16,5.25,CK,NB,Y,SBst,0.8023 ,0.4008 
ant-1.3,20,125,0.16,5.25,CK,RF,Y,SBst,0.7696 ,0.3892 
ant-1.3,20,125,0.16,5.25,CK,Ripper,Y,SBst,0.7823 ,0.3801 
ant-1.3,20,125,0.16,5.25,CK,SVM,Y,SBst,0.7875 ,0.4428 
ant-1.3,20,125,0.16,5.25,CK,C4.5,Y,SMOTE,0.6755 ,0.3128 
ant-1.3,20,125,0.16,5.25,CK,IBk,Y,SMOTE,0.7530 ,0.3452 
ant-1.3,20,125,0.16,5.25,CK,LR,Y,SMOTE,0.7913 ,0.4096 
ant-1.3,20,125,0.16,5.25,CK,NB,Y,SMOTE,0.7703 ,0.3433 
ant-1.3,20,125,0.16,5.25,CK,RF,Y,SMOTE,0.6895 ,0.2717 
ant-1.3,20,125,0.16,5.25,CK,Ripper,Y,SMOTE,0.6933 ,0.3382 
ant-1.3,20,125,0.16,5.25,CK,SVM,Y,SMOTE,0.7580 ,0.4409 
ant-1.3,20,125,0.16,5.25,CK,C4.5,Y,UBag,0.7925 ,0.4143 
ant-1.3,20,125,0.16,5.25,CK,IBk,Y,UBag,0.7943 ,0.4281 
ant-1.3,20,125,0.16,5.25,CK,LR,Y,UBag,0.8182 ,0.4501 
ant-1.3,20,125,0.16,5.25,CK,NB,Y,UBag,0.8140 ,0.4428 
ant-1.3,20,125,0.16,5.25,CK,RF,Y,UBag,0.7714 ,0.4062 
ant-1.3,20,125,0.16,5.25,CK,Ripper,Y,UBag,0.7961 ,0.4422 
ant-1.3,20,125,0.16,5.25,CK,SVM,Y,UBag,0.7935 ,0.4207 
ant-1.3,20,125,0.16,5.25,CK,C4.5,Y,UBst,0.7822 ,0.3646 
ant-1.3,20,125,0.16,5.25,CK,IBk,Y,UBst,0.8125 ,0.4256 
ant-1.3,20,125,0.16,5.25,CK,LR,Y,UBst,0.8152 ,0.4187 
ant-1.3,20,125,0.16,5.25,CK,NB,Y,UBst,0.8103 ,0.4476 
ant-1.3,20,125,0.16,5.25,CK,RF,Y,UBst,0.7816 ,0.3692 
ant-1.3,20,125,0.16,5.25,CK,Ripper,Y,UBst,0.7804 ,0.3443 
ant-1.3,20,125,0.16,5.25,CK,SVM,Y,UBst,0.7421 ,0.2308 
ant-1.3,20,125,0.16,5.25,CK,C4.5,Y,UOBag,0.7617 ,0.3858 
ant-1.3,20,125,0.16,5.25,CK,IBk,Y,UOBag,0.7476 ,0.3544 
ant-1.3,20,125,0.16,5.25,CK,LR,Y,UOBag,0.8138 ,0.4369 
ant-1.3,20,125,0.16,5.25,CK,NB,Y,UOBag,0.8068 ,0.3933 
ant-1.3,20,125,0.16,5.25,CK,RF,Y,UOBag,0.7432 ,0.4223 
ant-1.3,20,125,0.16,5.25,CK,Ripper,Y,UOBag,0.7715 ,0.4155 
ant-1.3,20,125,0.16,5.25,CK,SVM,Y,UOBag,0.7923 ,0.4501 
ant-1.3,20,125,0.16,5.25,CK,C4.5,Y,UOBst,0.6941 ,0.2521 
ant-1.3,20,125,0.16,5.25,CK,IBk,Y,UOBst,0.7025 ,0.3135 
ant-1.3,20,125,0.16,5.25,CK,LR,Y,UOBst,0.7544 ,0.3908 
ant-1.3,20,125,0.16,5.25,CK,NB,Y,UOBst,0.7689 ,0.3565 
ant-1.3,20,125,0.16,5.25,CK,RF,Y,UOBst,0.6907 ,0.2517 
ant-1.3,20,125,0.16,5.25,CK,Ripper,Y,UOBst,0.6804 ,0.2470 
ant-1.3,20,125,0.16,5.25,CK,SVM,Y,UOBst,0.7419 ,0.3848 
ant-1.3,20,125,0.16,5.25,CK,C4.5,Y,UOS,0.6572 ,0.2727 
ant-1.3,20,125,0.16,5.25,CK,IBk,Y,UOS,0.6783 ,0.2438 
ant-1.3,20,125,0.16,5.25,CK,LR,Y,UOS,0.7874 ,0.3373 
ant-1.3,20,125,0.16,5.25,CK,NB,Y,UOS,0.7847 ,0.3627 
