"Dataset","DefectNum","ModuleNum","DefectRate","ImbLevel","Metrics","Classifier","ImbLearner","ImbLearnerType","AUC","MCC","ImbGroup","dset","bMCC","dMCC"
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK","C4.5","Y","Bst",0.671,0.1707,"M&H IR","Eclipse_PDE_UI",0.0751,0.0956
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK","C4.5","Y","Bst",0.773,0.3813,"Low IR","Equinox_Framework",0.3526,0.0286999999999999
"ivy-2.0",40,352,0.113636364,7.8,"CK","C4.5","Y","Bst",0.707,0.1904,"M&H IR","ivy-2.0",0.0938,0.0966
"jedit-3.2",90,272,0.330882353,2.022222222,"CK","C4.5","Y","Bst",0.7737,0.3678,"Low IR","jedit-3.2",0.4465,-0.0787
"jedit-4.0",75,306,0.245098039,3.08,"CK","C4.5","Y","Bst",0.7473,0.3283,"Low IR","jedit-4.0",0.3875,-0.0592
"jedit-4.1",79,312,0.253205128,2.949367089,"CK","C4.5","Y","Bst",0.7543,0.3615,"Low IR","jedit-4.1",0.4463,-0.0848
"jedit-4.2",48,367,0.130790191,6.645833333,"CK","C4.5","Y","Bst",0.7299,0.1846,"M&H IR","jedit-4.2",0.0516,0.133
"jedit-4.3",11,492,0.022357724,43.72727273,"CK","C4.5","Y","Bst",0.7169,5e-04,"M&H IR","jedit-4.3",0,5e-04
"log4j-1.0",34,135,0.251851852,2.970588235,"CK","C4.5","Y","Bst",0.8,0.4061,"Low IR","log4j-1.0",0.4226,-0.0165
"Lucene",64,691,0.092619392,9.796875,"CK","C4.5","Y","Bst",0.6195,0.1384,"M&H IR","Lucene",0.0029,0.1355
"Mylyn",245,1862,0.131578947,6.6,"CK","C4.5","Y","Bst",0.6821,0.1695,"M&H IR","Mylyn",0.0139,0.1556
"poi-2.0",37,314,0.117834395,7.486486486,"CK","C4.5","Y","Bst",0.6868,0.2287,"M&H IR","poi-2.0",0.0231,0.2056
"synapse-1.0",16,157,0.101910828,8.8125,"CK","C4.5","Y","Bst",0.6555,0.1111,"M&H IR","synapse-1.0",0.0136,0.0975
"synapse-1.1",60,222,0.27027027,2.7,"CK","C4.5","Y","Bst",0.7321,0.3326,"Low IR","synapse-1.1",0.3822,-0.0496
"synapse-1.2",86,256,0.3359375,1.976744186,"CK","C4.5","Y","Bst",0.7283,0.3301,"Low IR","synapse-1.2",0.462,-0.1319
"velocity-1.6",78,229,0.340611354,1.935897436,"CK","C4.5","Y","Bst",0.6754,0.2163,"Low IR","velocity-1.6",0.2073,0.00899999999999998
"xerces-1.2",71,440,0.161363636,5.197183099,"CK","C4.5","Y","Bst",0.751,0.236,"M&H IR","xerces-1.2",-0.0046,0.2406
"xerces-1.3",69,453,0.152317881,5.565217391,"CK","C4.5","Y","Bst",0.7735,0.3326,"M&H IR","xerces-1.3",0.3433,-0.0107
"ant-1.3",20,125,0.16,5.25,"CK","C4.5","Y","US",0.6987,0.3196,"M&H IR","ant-1.3",-0.0098,0.3294
"ant-1.4",40,178,0.224719101,3.45,"CK","C4.5","Y","US",0.5427,0.0905,"Low IR","ant-1.4",0,0.0905
"ant-1.5",32,293,0.109215017,8.15625,"CK","C4.5","Y","US",0.696,0.2963,"M&H IR","ant-1.5",0.3255,-0.0292
"ant-1.6",92,351,0.262108262,2.815217391,"CK","C4.5","Y","US",0.7405,0.4462,"Low IR","ant-1.6",0.4712,-0.025
"camel-1.0",13,339,0.038348083,25.07692308,"CK","C4.5","Y","US",0.6094,0.0938,"M&H IR","camel-1.0",0,0.0938
"camel-1.2",216,608,0.355263158,1.814814815,"CK","C4.5","Y","US",0.5302,0.0565,"Low IR","camel-1.2",0.0254,0.0311
"camel-1.4",145,872,0.166284404,5.013793103,"CK","C4.5","Y","US",0.6211,0.1863,"M&H IR","camel-1.4",0.0968,0.0895
"camel-1.6",188,965,0.194818653,4.132978723,"CK","C4.5","Y","US",0.5811,0.1224,"M&H IR","camel-1.6",0.105,0.0174
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK","C4.5","Y","US",0.7184,0.3785,"Low IR","Eclipse_JDT_Core",0.4041,-0.0256
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK","C4.5","Y","US",0.6585,0.2267,"M&H IR","Eclipse_PDE_UI",0.0751,0.1516
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK","C4.5","Y","US",0.7147,0.4008,"Low IR","Equinox_Framework",0.3526,0.0482
