"Dataset","DefectNum","ModuleNum","DefectRate","ImbLevel","Metrics","Classifier","ImbLearner","ImbLearnerType","AUC","MCC","ImbGroup","dset","bMCC","dMCC"
"xerces-1.3",69,453,0.152317881,5.565217391,"NET+PROC","C4.5","Y","COS",0.6982,0.3828,"M&H IR","xerces-1.3",0.4007,-0.0179
"ant-1.3",20,125,0.16,5.25,"NET+PROC","C4.5","Y","EM1v1",0.7363,0.2693,"M&H IR","ant-1.3",0.1249,0.1444
"ant-1.4",40,178,0.224719101,3.45,"NET+PROC","C4.5","Y","EM1v1",0.8112,0.4594,"Low IR","ant-1.4",0.3572,0.1022
"ant-1.5",32,293,0.109215017,8.15625,"NET+PROC","C4.5","Y","EM1v1",0.7981,0.3465,"M&H IR","ant-1.5",0.2919,0.0546
"ant-1.6",92,351,0.262108262,2.815217391,"NET+PROC","C4.5","Y","EM1v1",0.7344,0.3848,"Low IR","ant-1.6",0.3159,0.0689
"camel-1.0",13,339,0.038348083,25.07692308,"NET+PROC","C4.5","Y","EM1v1",0.7906,0.1612,"M&H IR","camel-1.0",-0.0074,0.1686
"camel-1.2",216,608,0.355263158,1.814814815,"NET+PROC","C4.5","Y","EM1v1",0.7345,0.4013,"Low IR","camel-1.2",0.4013,0
"camel-1.4",145,872,0.166284404,5.013793103,"NET+PROC","C4.5","Y","EM1v1",0.8045,0.3779,"M&H IR","camel-1.4",0.3354,0.0425
"camel-1.6",188,965,0.194818653,4.132978723,"NET+PROC","C4.5","Y","EM1v1",0.8254,0.4607,"M&H IR","camel-1.6",0.3964,0.0643
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"NET+PROC","C4.5","Y","EM1v1",0.8039,0.448,"Low IR","Eclipse_JDT_Core",0.4101,0.0379
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"NET+PROC","C4.5","Y","EM1v1",0.7395,0.2684,"M&H IR","Eclipse_PDE_UI",0.1971,0.0713
"Equinox_Framework",129,324,0.398148148,1.511627907,"NET+PROC","C4.5","Y","EM1v1",0.7274,0.4371,"Low IR","Equinox_Framework",0.4371,0
"ivy-2.0",40,352,0.113636364,7.8,"NET+PROC","C4.5","Y","EM1v1",0.8013,0.3368,"M&H IR","ivy-2.0",0.2231,0.1137
"jedit-3.2",90,272,0.330882353,2.022222222,"NET+PROC","C4.5","Y","EM1v1",0.8742,0.6172,"Low IR","jedit-3.2",0.6443,-0.0271
"jedit-4.0",75,306,0.245098039,3.08,"NET+PROC","C4.5","Y","EM1v1",0.808,0.4602,"Low IR","jedit-4.0",0.3725,0.0877
"jedit-4.1",79,312,0.253205128,2.949367089,"NET+PROC","C4.5","Y","EM1v1",0.7984,0.417,"Low IR","jedit-4.1",0.3733,0.0437
"jedit-4.2",48,367,0.130790191,6.645833333,"NET+PROC","C4.5","Y","EM1v1",0.8493,0.4508,"M&H IR","jedit-4.2",0.4607,-0.00990000000000002
"jedit-4.3",11,492,0.022357724,43.72727273,"NET+PROC","C4.5","Y","EM1v1",0.9089,0.1984,"M&H IR","jedit-4.3",-0.0015,0.1999
"log4j-1.0",34,135,0.251851852,2.970588235,"NET+PROC","C4.5","Y","EM1v1",0.8088,0.4897,"Low IR","log4j-1.0",0.4603,0.0294
"Lucene",64,691,0.092619392,9.796875,"NET+PROC","C4.5","Y","EM1v1",0.7915,0.3273,"M&H IR","Lucene",0.2501,0.0772
"Mylyn",245,1862,0.131578947,6.6,"NET+PROC","C4.5","Y","EM1v1",0.7514,0.2691,"M&H IR","Mylyn",0.1646,0.1045
"poi-2.0",37,314,0.117834395,7.486486486,"NET+PROC","C4.5","Y","EM1v1",0.7248,0.2176,"M&H IR","poi-2.0",0.2931,-0.0755
"synapse-1.0",16,157,0.101910828,8.8125,"NET+PROC","C4.5","Y","EM1v1",0.75,0.2642,"M&H IR","synapse-1.0",0.0024,0.2618
"synapse-1.1",60,222,0.27027027,2.7,"NET+PROC","C4.5","Y","EM1v1",0.7449,0.3716,"Low IR","synapse-1.1",0.3573,0.0143
"synapse-1.2",86,256,0.3359375,1.976744186,"NET+PROC","C4.5","Y","EM1v1",0.688,0.3594,"Low IR","synapse-1.2",0.3594,0
"velocity-1.6",78,229,0.340611354,1.935897436,"NET+PROC","C4.5","Y","EM1v1",0.6885,0.3716,"Low IR","velocity-1.6",0.3716,0
"xerces-1.2",71,440,0.161363636,5.197183099,"NET+PROC","C4.5","Y","EM1v1",0.9106,0.6254,"M&H IR","xerces-1.2",0.6311,-0.00570000000000004
"xerces-1.3",69,453,0.152317881,5.565217391,"NET+PROC","C4.5","Y","EM1v1",0.8239,0.3863,"M&H IR","xerces-1.3",0.4007,-0.0144
"ant-1.3",20,125,0.16,5.25,"NET+PROC","C4.5","Y","UBag",0.7696,0.3281,"M&H IR","ant-1.3",0.1249,0.2032
"ant-1.4",40,178,0.224719101,3.45,"NET+PROC","C4.5","Y","UBag",0.829,0.4384,"Low IR","ant-1.4",0.3572,0.0812
"ant-1.5",32,293,0.109215017,8.15625,"NET+PROC","C4.5","Y","UBag",0.8042,0.402,"M&H IR","ant-1.5",0.2919,0.1101
"ant-1.6",92,351,0.262108262,2.815217391,"NET+PROC","C4.5","Y","UBag",0.7718,0.3794,"Low IR","ant-1.6",0.3159,0.0635
"camel-1.0",13,339,0.038348083,25.07692308,"NET+PROC","C4.5","Y","UBag",0.7609,0.1552,"M&H IR","camel-1.0",-0.0074,0.1626
"camel-1.2",216,608,0.355263158,1.814814815,"NET+PROC","C4.5","Y","UBag",0.8164,0.4584,"Low IR","camel-1.2",0.4013,0.0571
"camel-1.4",145,872,0.166284404,5.013793103,"NET+PROC","C4.5","Y","UBag",0.8206,0.3918,"M&H IR","camel-1.4",0.3354,0.0564
"camel-1.6",188,965,0.194818653,4.132978723,"NET+PROC","C4.5","Y","UBag",0.8396,0.4522,"M&H IR","camel-1.6",0.3964,0.0558
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"NET+PROC","C4.5","Y","UBag",0.8264,0.4474,"Low IR","Eclipse_JDT_Core",0.4101,0.0373
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"NET+PROC","C4.5","Y","UBag",0.7467,0.2795,"M&H IR","Eclipse_PDE_UI",0.1971,0.0824
"Equinox_Framework",129,324,0.398148148,1.511627907,"NET+PROC","C4.5","Y","UBag",0.8267,0.4944,"Low IR","Equinox_Framework",0.4371,0.0573
"ivy-2.0",40,352,0.113636364,7.8,"NET+PROC","C4.5","Y","UBag",0.8098,0.37,"M&H IR","ivy-2.0",0.2231,0.1469
"jedit-3.2",90,272,0.330882353,2.022222222,"NET+PROC","C4.5","Y","UBag",0.9087,0.6665,"Low IR","jedit-3.2",0.6443,0.0222
"jedit-4.0",75,306,0.245098039,3.08,"NET+PROC","C4.5","Y","UBag",0.8392,0.4651,"Low IR","jedit-4.0",0.3725,0.0926
"jedit-4.1",79,312,0.253205128,2.949367089,"NET+PROC","C4.5","Y","UBag",0.8377,0.4675,"Low IR","jedit-4.1",0.3733,0.0942
"jedit-4.2",48,367,0.130790191,6.645833333,"NET+PROC","C4.5","Y","UBag",0.8601,0.47,"M&H IR","jedit-4.2",0.4607,0.00929999999999997
"jedit-4.3",11,492,0.022357724,43.72727273,"NET+PROC","C4.5","Y","UBag",0.8894,0.2157,"M&H IR","jedit-4.3",-0.0015,0.2172
"log4j-1.0",34,135,0.251851852,2.970588235,"NET+PROC","C4.5","Y","UBag",0.8775,0.5846,"Low IR","log4j-1.0",0.4603,0.1243
"Lucene",64,691,0.092619392,9.796875,"NET+PROC","C4.5","Y","UBag",0.7728,0.3098,"M&H IR","Lucene",0.2501,0.0597
"Mylyn",245,1862,0.131578947,6.6,"NET+PROC","C4.5","Y","UBag",0.7567,0.2829,"M&H IR","Mylyn",0.1646,0.1183
"poi-2.0",37,314,0.117834395,7.486486486,"NET+PROC","C4.5","Y","UBag",0.7268,0.2499,"M&H IR","poi-2.0",0.2931,-0.0432
"synapse-1.0",16,157,0.101910828,8.8125,"NET+PROC","C4.5","Y","UBag",0.7084,0.2185,"M&H IR","synapse-1.0",0.0024,0.2161
"synapse-1.1",60,222,0.27027027,2.7,"NET+PROC","C4.5","Y","UBag",0.7768,0.4165,"Low IR","synapse-1.1",0.3573,0.0592
"synapse-1.2",86,256,0.3359375,1.976744186,"NET+PROC","C4.5","Y","UBag",0.8075,0.4639,"Low IR","synapse-1.2",0.3594,0.1045
"velocity-1.6",78,229,0.340611354,1.935897436,"NET+PROC","C4.5","Y","UBag",0.8072,0.4545,"Low IR","velocity-1.6",0.3716,0.0829
"xerces-1.2",71,440,0.161363636,5.197183099,"NET+PROC","C4.5","Y","UBag",0.9279,0.628,"M&H IR","xerces-1.2",0.6311,-0.00309999999999999
"xerces-1.3",69,453,0.152317881,5.565217391,"NET+PROC","C4.5","Y","UBag",0.8327,0.4022,"M&H IR","xerces-1.3",0.4007,0.0015
"ant-1.3",20,125,0.16,5.25,"NET+PROC","C4.5","Y","OBag",0.6428,0.2117,"M&H IR","ant-1.3",0.1249,0.0868
"ant-1.4",40,178,0.224719101,3.45,"NET+PROC","C4.5","Y","OBag",0.8236,0.452,"Low IR","ant-1.4",0.3572,0.0948
"ant-1.5",32,293,0.109215017,8.15625,"NET+PROC","C4.5","Y","OBag",0.7982,0.3281,"M&H IR","ant-1.5",0.2919,0.0362
"ant-1.6",92,351,0.262108262,2.815217391,"NET+PROC","C4.5","Y","OBag",0.7409,0.3643,"Low IR","ant-1.6",0.3159,0.0484
"camel-1.0",13,339,0.038348083,25.07692308,"NET+PROC","C4.5","Y","OBag",0.6446,0.0369,"M&H IR","camel-1.0",-0.0074,0.0443
"camel-1.2",216,608,0.355263158,1.814814815,"NET+PROC","C4.5","Y","OBag",0.8194,0.4622,"Low IR","camel-1.2",0.4013,0.0609
"camel-1.4",145,872,0.166284404,5.013793103,"NET+PROC","C4.5","Y","OBag",0.8056,0.3893,"M&H IR","camel-1.4",0.3354,0.0539
"camel-1.6",188,965,0.194818653,4.132978723,"NET+PROC","C4.5","Y","OBag",0.8157,0.3971,"M&H IR","camel-1.6",0.3964,0.000700000000000034
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"NET+PROC","C4.5","Y","OBag",0.819,0.4562,"Low IR","Eclipse_JDT_Core",0.4101,0.0461
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"NET+PROC","C4.5","Y","OBag",0.7325,0.2512,"M&H IR","Eclipse_PDE_UI",0.1971,0.0541
"Equinox_Framework",129,324,0.398148148,1.511627907,"NET+PROC","C4.5","Y","OBag",0.8216,0.4668,"Low IR","Equinox_Framework",0.4371,0.0297
"ivy-2.0",40,352,0.113636364,7.8,"NET+PROC","C4.5","Y","OBag",0.7274,0.2117,"M&H IR","ivy-2.0",0.2231,-0.0114
"jedit-3.2",90,272,0.330882353,2.022222222,"NET+PROC","C4.5","Y","OBag",0.897,0.6402,"Low IR","jedit-3.2",0.6443,-0.00409999999999999
"jedit-4.0",75,306,0.245098039,3.08,"NET+PROC","C4.5","Y","OBag",0.8205,0.4056,"Low IR","jedit-4.0",0.3725,0.0331
"jedit-4.1",79,312,0.253205128,2.949367089,"NET+PROC","C4.5","Y","OBag",0.816,0.4196,"Low IR","jedit-4.1",0.3733,0.0463
"jedit-4.2",48,367,0.130790191,6.645833333,"NET+PROC","C4.5","Y","OBag",0.8244,0.4447,"M&H IR","jedit-4.2",0.4607,-0.016
"jedit-4.3",11,492,0.022357724,43.72727273,"NET+PROC","C4.5","Y","OBag",0.743,0.2463,"M&H IR","jedit-4.3",-0.0015,0.2478
"log4j-1.0",34,135,0.251851852,2.970588235,"NET+PROC","C4.5","Y","OBag",0.8776,0.5454,"Low IR","log4j-1.0",0.4603,0.0851
"Lucene",64,691,0.092619392,9.796875,"NET+PROC","C4.5","Y","OBag",0.7132,0.282,"M&H IR","Lucene",0.2501,0.0319
"Mylyn",245,1862,0.131578947,6.6,"NET+PROC","C4.5","Y","OBag",0.7034,0.1944,"M&H IR","Mylyn",0.1646,0.0298
"poi-2.0",37,314,0.117834395,7.486486486,"NET+PROC","C4.5","Y","OBag",0.7339,0.2665,"M&H IR","poi-2.0",0.2931,-0.0266
"synapse-1.0",16,157,0.101910828,8.8125,"NET+PROC","C4.5","Y","OBag",0.7259,0.3174,"M&H IR","synapse-1.0",0.0024,0.315
"synapse-1.1",60,222,0.27027027,2.7,"NET+PROC","C4.5","Y","OBag",0.7578,0.3581,"Low IR","synapse-1.1",0.3573,0.000799999999999967
"synapse-1.2",86,256,0.3359375,1.976744186,"NET+PROC","C4.5","Y","OBag",0.8195,0.472,"Low IR","synapse-1.2",0.3594,0.1126
"velocity-1.6",78,229,0.340611354,1.935897436,"NET+PROC","C4.5","Y","OBag",0.794,0.442,"Low IR","velocity-1.6",0.3716,0.0704
"xerces-1.2",71,440,0.161363636,5.197183099,"NET+PROC","C4.5","Y","OBag",0.8916,0.6236,"M&H IR","xerces-1.2",0.6311,-0.00749999999999995
"xerces-1.3",69,453,0.152317881,5.565217391,"NET+PROC","C4.5","Y","OBag",0.8105,0.4053,"M&H IR","xerces-1.3",0.4007,0.00459999999999999
"ant-1.3",20,125,0.16,5.25,"NET+PROC","C4.5","Y","UOBag",0.7276,0.286,"M&H IR","ant-1.3",0.1249,0.1611
"ant-1.4",40,178,0.224719101,3.45,"NET+PROC","C4.5","Y","UOBag",0.8389,0.4562,"Low IR","ant-1.4",0.3572,0.099
"ant-1.5",32,293,0.109215017,8.15625,"NET+PROC","C4.5","Y","UOBag",0.8256,0.445,"M&H IR","ant-1.5",0.2919,0.1531
"ant-1.6",92,351,0.262108262,2.815217391,"NET+PROC","C4.5","Y","UOBag",0.7729,0.4024,"Low IR","ant-1.6",0.3159,0.0865
"camel-1.0",13,339,0.038348083,25.07692308,"NET+PROC","C4.5","Y","UOBag",0.7256,0.0909,"M&H IR","camel-1.0",-0.0074,0.0983
"camel-1.2",216,608,0.355263158,1.814814815,"NET+PROC","C4.5","Y","UOBag",0.8102,0.4568,"Low IR","camel-1.2",0.4013,0.0555
"camel-1.4",145,872,0.166284404,5.013793103,"NET+PROC","C4.5","Y","UOBag",0.8175,0.4034,"M&H IR","camel-1.4",0.3354,0.068
"camel-1.6",188,965,0.194818653,4.132978723,"NET+PROC","C4.5","Y","UOBag",0.8341,0.4427,"M&H IR","camel-1.6",0.3964,0.0463
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"NET+PROC","C4.5","Y","UOBag",0.8254,0.4722,"Low IR","Eclipse_JDT_Core",0.4101,0.0621
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"NET+PROC","C4.5","Y","UOBag",0.7509,0.3014,"M&H IR","Eclipse_PDE_UI",0.1971,0.1043
"Equinox_Framework",129,324,0.398148148,1.511627907,"NET+PROC","C4.5","Y","UOBag",0.8248,0.4778,"Low IR","Equinox_Framework",0.4371,0.0407
"ivy-2.0",40,352,0.113636364,7.8,"NET+PROC","C4.5","Y","UOBag",0.7889,0.324,"M&H IR","ivy-2.0",0.2231,0.1009
"jedit-3.2",90,272,0.330882353,2.022222222,"NET+PROC","C4.5","Y","UOBag",0.9103,0.6636,"Low IR","jedit-3.2",0.6443,0.0193
"jedit-4.0",75,306,0.245098039,3.08,"NET+PROC","C4.5","Y","UOBag",0.8414,0.4833,"Low IR","jedit-4.0",0.3725,0.1108
"jedit-4.1",79,312,0.253205128,2.949367089,"NET+PROC","C4.5","Y","UOBag",0.8426,0.4501,"Low IR","jedit-4.1",0.3733,0.0768
"jedit-4.2",48,367,0.130790191,6.645833333,"NET+PROC","C4.5","Y","UOBag",0.8559,0.4568,"M&H IR","jedit-4.2",0.4607,-0.00390000000000001
"jedit-4.3",11,492,0.022357724,43.72727273,"NET+PROC","C4.5","Y","UOBag",0.833,0.3393,"M&H IR","jedit-4.3",-0.0015,0.3408
"log4j-1.0",34,135,0.251851852,2.970588235,"NET+PROC","C4.5","Y","UOBag",0.8761,0.5907,"Low IR","log4j-1.0",0.4603,0.1304
"Lucene",64,691,0.092619392,9.796875,"NET+PROC","C4.5","Y","UOBag",0.7791,0.3466,"M&H IR","Lucene",0.2501,0.0965
"Mylyn",245,1862,0.131578947,6.6,"NET+PROC","C4.5","Y","UOBag",0.7421,0.2699,"M&H IR","Mylyn",0.1646,0.1053
"poi-2.0",37,314,0.117834395,7.486486486,"NET+PROC","C4.5","Y","UOBag",0.7573,0.2991,"M&H IR","poi-2.0",0.2931,0.00599999999999995
"synapse-1.0",16,157,0.101910828,8.8125,"NET+PROC","C4.5","Y","UOBag",0.7539,0.2896,"M&H IR","synapse-1.0",0.0024,0.2872
"synapse-1.1",60,222,0.27027027,2.7,"NET+PROC","C4.5","Y","UOBag",0.783,0.3914,"Low IR","synapse-1.1",0.3573,0.0341
"synapse-1.2",86,256,0.3359375,1.976744186,"NET+PROC","C4.5","Y","UOBag",0.7979,0.4328,"Low IR","synapse-1.2",0.3594,0.0734
"velocity-1.6",78,229,0.340611354,1.935897436,"NET+PROC","C4.5","Y","UOBag",0.8003,0.4266,"Low IR","velocity-1.6",0.3716,0.055
"xerces-1.2",71,440,0.161363636,5.197183099,"NET+PROC","C4.5","Y","UOBag",0.9281,0.6655,"M&H IR","xerces-1.2",0.6311,0.0344
"xerces-1.3",69,453,0.152317881,5.565217391,"NET+PROC","C4.5","Y","UOBag",0.842,0.4539,"M&H IR","xerces-1.3",0.4007,0.0532
"ant-1.3",20,125,0.16,5.25,"NET+PROC","C4.5","Y","SBag",0.7315,0.2021,"M&H IR","ant-1.3",0.1249,0.0772
"ant-1.4",40,178,0.224719101,3.45,"NET+PROC","C4.5","Y","SBag",0.8369,0.5093,"Low IR","ant-1.4",0.3572,0.1521
"ant-1.5",32,293,0.109215017,8.15625,"NET+PROC","C4.5","Y","SBag",0.7893,0.3329,"M&H IR","ant-1.5",0.2919,0.041
"ant-1.6",92,351,0.262108262,2.815217391,"NET+PROC","C4.5","Y","SBag",0.7727,0.377,"Low IR","ant-1.6",0.3159,0.0611
"camel-1.0",13,339,0.038348083,25.07692308,"NET+PROC","C4.5","Y","SBag",0.6668,0.0312,"M&H IR","camel-1.0",-0.0074,0.0386
"camel-1.2",216,608,0.355263158,1.814814815,"NET+PROC","C4.5","Y","SBag",0.8229,0.4531,"Low IR","camel-1.2",0.4013,0.0518
"camel-1.4",145,872,0.166284404,5.013793103,"NET+PROC","C4.5","Y","SBag",0.821,0.3979,"M&H IR","camel-1.4",0.3354,0.0625
"camel-1.6",188,965,0.194818653,4.132978723,"NET+PROC","C4.5","Y","SBag",0.833,0.4402,"M&H IR","camel-1.6",0.3964,0.0438
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"NET+PROC","C4.5","Y","SBag",0.8249,0.4675,"Low IR","Eclipse_JDT_Core",0.4101,0.0574
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"NET+PROC","C4.5","Y","SBag",0.7414,0.2732,"M&H IR","Eclipse_PDE_UI",0.1971,0.0761
"Equinox_Framework",129,324,0.398148148,1.511627907,"NET+PROC","C4.5","Y","SBag",0.822,0.4611,"Low IR","Equinox_Framework",0.4371,0.024
"ivy-2.0",40,352,0.113636364,7.8,"NET+PROC","C4.5","Y","SBag",0.7785,0.262,"M&H IR","ivy-2.0",0.2231,0.0389
"jedit-3.2",90,272,0.330882353,2.022222222,"NET+PROC","C4.5","Y","SBag",0.9047,0.6323,"Low IR","jedit-3.2",0.6443,-0.012
"jedit-4.0",75,306,0.245098039,3.08,"NET+PROC","C4.5","Y","SBag",0.8269,0.4286,"Low IR","jedit-4.0",0.3725,0.0561
"jedit-4.1",79,312,0.253205128,2.949367089,"NET+PROC","C4.5","Y","SBag",0.8317,0.4335,"Low IR","jedit-4.1",0.3733,0.0602
"jedit-4.2",48,367,0.130790191,6.645833333,"NET+PROC","C4.5","Y","SBag",0.8575,0.453,"M&H IR","jedit-4.2",0.4607,-0.00769999999999998
"jedit-4.3",11,492,0.022357724,43.72727273,"NET+PROC","C4.5","Y","SBag",0.7545,0.2374,"M&H IR","jedit-4.3",-0.0015,0.2389
"log4j-1.0",34,135,0.251851852,2.970588235,"NET+PROC","C4.5","Y","SBag",0.8697,0.573,"Low IR","log4j-1.0",0.4603,0.1127
"Lucene",64,691,0.092619392,9.796875,"NET+PROC","C4.5","Y","SBag",0.7382,0.2923,"M&H IR","Lucene",0.2501,0.0422
"Mylyn",245,1862,0.131578947,6.6,"NET+PROC","C4.5","Y","SBag",0.7303,0.2614,"M&H IR","Mylyn",0.1646,0.0968
"poi-2.0",37,314,0.117834395,7.486486486,"NET+PROC","C4.5","Y","SBag",0.7596,0.2637,"M&H IR","poi-2.0",0.2931,-0.0294
"synapse-1.0",16,157,0.101910828,8.8125,"NET+PROC","C4.5","Y","SBag",0.7737,0.2971,"M&H IR","synapse-1.0",0.0024,0.2947
"synapse-1.1",60,222,0.27027027,2.7,"NET+PROC","C4.5","Y","SBag",0.7735,0.4123,"Low IR","synapse-1.1",0.3573,0.055
"synapse-1.2",86,256,0.3359375,1.976744186,"NET+PROC","C4.5","Y","SBag",0.8111,0.436,"Low IR","synapse-1.2",0.3594,0.0766
"velocity-1.6",78,229,0.340611354,1.935897436,"NET+PROC","C4.5","Y","SBag",0.81,0.4482,"Low IR","velocity-1.6",0.3716,0.0766
"xerces-1.2",71,440,0.161363636,5.197183099,"NET+PROC","C4.5","Y","SBag",0.9215,0.638,"M&H IR","xerces-1.2",0.6311,0.00690000000000002
"xerces-1.3",69,453,0.152317881,5.565217391,"NET+PROC","C4.5","Y","SBag",0.8391,0.4289,"M&H IR","xerces-1.3",0.4007,0.0282
"ant-1.3",20,125,0.16,5.25,"NET+PROC","C4.5","Y","UBst",0.7304,0.2739,"M&H IR","ant-1.3",0.1249,0.149
"ant-1.4",40,178,0.224719101,3.45,"NET+PROC","C4.5","Y","UBst",0.7968,0.3806,"Low IR","ant-1.4",0.3572,0.0234
"ant-1.5",32,293,0.109215017,8.15625,"NET+PROC","C4.5","Y","UBst",0.772,0.3096,"M&H IR","ant-1.5",0.2919,0.0177
"ant-1.6",92,351,0.262108262,2.815217391,"NET+PROC","C4.5","Y","UBst",0.7599,0.3557,"Low IR","ant-1.6",0.3159,0.0398
"camel-1.0",13,339,0.038348083,25.07692308,"NET+PROC","C4.5","Y","UBst",0.7368,0.1566,"M&H IR","camel-1.0",-0.0074,0.164
"camel-1.2",216,608,0.355263158,1.814814815,"NET+PROC","C4.5","Y","UBst",0.7731,0.3928,"Low IR","camel-1.2",0.4013,-0.00850000000000001
"camel-1.4",145,872,0.166284404,5.013793103,"NET+PROC","C4.5","Y","UBst",0.7992,0.3366,"M&H IR","camel-1.4",0.3354,0.00120000000000003
"camel-1.6",188,965,0.194818653,4.132978723,"NET+PROC","C4.5","Y","UBst",0.8226,0.4424,"M&H IR","camel-1.6",0.3964,0.046
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"NET+PROC","C4.5","Y","UBst",0.8099,0.3828,"Low IR","Eclipse_JDT_Core",0.4101,-0.0273
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"NET+PROC","C4.5","Y","UBst",0.7252,0.241,"M&H IR","Eclipse_PDE_UI",0.1971,0.0439
"Equinox_Framework",129,324,0.398148148,1.511627907,"NET+PROC","C4.5","Y","UBst",0.8061,0.4794,"Low IR","Equinox_Framework",0.4371,0.0423
"ivy-2.0",40,352,0.113636364,7.8,"NET+PROC","C4.5","Y","UBst",0.7986,0.3552,"M&H IR","ivy-2.0",0.2231,0.1321
"jedit-3.2",90,272,0.330882353,2.022222222,"NET+PROC","C4.5","Y","UBst",0.8896,0.6451,"Low IR","jedit-3.2",0.6443,0.000800000000000023
"jedit-4.0",75,306,0.245098039,3.08,"NET+PROC","C4.5","Y","UBst",0.8178,0.45,"Low IR","jedit-4.0",0.3725,0.0775
"jedit-4.1",79,312,0.253205128,2.949367089,"NET+PROC","C4.5","Y","UBst",0.8084,0.4292,"Low IR","jedit-4.1",0.3733,0.0559
"jedit-4.2",48,367,0.130790191,6.645833333,"NET+PROC","C4.5","Y","UBst",0.8551,0.4531,"M&H IR","jedit-4.2",0.4607,-0.0076
"jedit-4.3",11,492,0.022357724,43.72727273,"NET+PROC","C4.5","Y","UBst",0.7998,0.1409,"M&H IR","jedit-4.3",-0.0015,0.1424
"log4j-1.0",34,135,0.251851852,2.970588235,"NET+PROC","C4.5","Y","UBst",0.8485,0.4885,"Low IR","log4j-1.0",0.4603,0.0282
"Lucene",64,691,0.092619392,9.796875,"NET+PROC","C4.5","Y","UBst",0.7554,0.2449,"M&H IR","Lucene",0.2501,-0.00519999999999998
"Mylyn",245,1862,0.131578947,6.6,"NET+PROC","C4.5","Y","UBst",0.742,0.2338,"M&H IR","Mylyn",0.1646,0.0692
"poi-2.0",37,314,0.117834395,7.486486486,"NET+PROC","C4.5","Y","UBst",0.7183,0.221,"M&H IR","poi-2.0",0.2931,-0.0721
"synapse-1.0",16,157,0.101910828,8.8125,"NET+PROC","C4.5","Y","UBst",0.727,0.2274,"M&H IR","synapse-1.0",0.0024,0.225
"synapse-1.1",60,222,0.27027027,2.7,"NET+PROC","C4.5","Y","UBst",0.7741,0.4298,"Low IR","synapse-1.1",0.3573,0.0725
"synapse-1.2",86,256,0.3359375,1.976744186,"NET+PROC","C4.5","Y","UBst",0.766,0.3901,"Low IR","synapse-1.2",0.3594,0.0307
"velocity-1.6",78,229,0.340611354,1.935897436,"NET+PROC","C4.5","Y","UBst",0.7566,0.3581,"Low IR","velocity-1.6",0.3716,-0.0135
"xerces-1.2",71,440,0.161363636,5.197183099,"NET+PROC","C4.5","Y","UBst",0.9072,0.5471,"M&H IR","xerces-1.2",0.6311,-0.084
"xerces-1.3",69,453,0.152317881,5.565217391,"NET+PROC","C4.5","Y","UBst",0.7961,0.31,"M&H IR","xerces-1.3",0.4007,-0.0907
"ant-1.3",20,125,0.16,5.25,"NET+PROC","C4.5","Y","OBst",0.7117,0.1623,"M&H IR","ant-1.3",0.1249,0.0374
"ant-1.4",40,178,0.224719101,3.45,"NET+PROC","C4.5","Y","OBst",0.814,0.4327,"Low IR","ant-1.4",0.3572,0.0755
"ant-1.5",32,293,0.109215017,8.15625,"NET+PROC","C4.5","Y","OBst",0.7712,0.2962,"M&H IR","ant-1.5",0.2919,0.00430000000000003
"ant-1.6",92,351,0.262108262,2.815217391,"NET+PROC","C4.5","Y","OBst",0.7526,0.3276,"Low IR","ant-1.6",0.3159,0.0117
"camel-1.0",13,339,0.038348083,25.07692308,"NET+PROC","C4.5","Y","OBst",0.7361,0.015,"M&H IR","camel-1.0",-0.0074,0.0224
"camel-1.2",216,608,0.355263158,1.814814815,"NET+PROC","C4.5","Y","OBst",0.7754,0.4072,"Low IR","camel-1.2",0.4013,0.00590000000000002
"camel-1.4",145,872,0.166284404,5.013793103,"NET+PROC","C4.5","Y","OBst",0.7713,0.324,"M&H IR","camel-1.4",0.3354,-0.0114
"camel-1.6",188,965,0.194818653,4.132978723,"NET+PROC","C4.5","Y","OBst",0.7981,0.3872,"M&H IR","camel-1.6",0.3964,-0.00919999999999999
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"NET+PROC","C4.5","Y","OBst",0.7955,0.4316,"Low IR","Eclipse_JDT_Core",0.4101,0.0215
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"NET+PROC","C4.5","Y","OBst",0.7143,0.2201,"M&H IR","Eclipse_PDE_UI",0.1971,0.023
"Equinox_Framework",129,324,0.398148148,1.511627907,"NET+PROC","C4.5","Y","OBst",0.7705,0.4309,"Low IR","Equinox_Framework",0.4371,-0.00619999999999998
