Dataset,DefectNum,ModuleNum,DefectRate,ImbLevel,ImbGroup,Metrics,Classifier,ImbLearner,ImbLearnerType,Gmean,AUC,Bal,F1,Recall,MCC,SLoe
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,CK,IBk,Y,SBag,0.5209,0.613,0.5175,0.4022,0.3648,0.1372,0.1653
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,CK,IBk,Y,SBag,0.612,0.6875,0.6083,0.3626,0.5229,0.2032,0.3068
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,CK,IBk,Y,SBag,0.5853,0.6712,0.5809,0.3673,0.4767,0.1793,0.2454
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,CK,IBk,Y,SBag,0.6587,0.7554,0.6573,0.3601,0.595,0.274,0.457
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,CK,IBk,Y,SBag,0.7015,0.8202,0.693,0.6154,0.6656,0.4231,0.5162
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,CK,IBk,Y,SBag,0.7201,0.8046,0.7122,0.5802,0.6652,0.4343,0.53
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,CK,IBk,Y,SBag,0.7281,0.8116,0.7158,0.6015,0.6554,0.4646,0.552
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,CK,IBk,Y,SBag,0.709,0.8165,0.6994,0.4157,0.6785,0.3279,0.5494
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,CK,IBk,Y,SBag,0.585,0.8294,0.6802,0.2119,0.605,0.248,0.5711
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,CK,IBk,Y,SBag,0.7188,0.8205,0.7179,0.6048,0.69,0.4794,0.5995
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,CK,IBk,Y,SBag,0.5497,0.7077,0.577,0.2956,0.4658,0.1852,0.2981
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,CK,IBk,Y,SBag,0.5749,0.735,0.6177,0.3029,0.6,0.2385,0.4872
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,CK,IBk,Y,SBag,0.6743,0.7626,0.6685,0.548,0.6017,0.3728,0.4511
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,CK,IBk,Y,SBag,0.6942,0.7513,0.6856,0.6074,0.6321,0.4116,0.4742
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,CK,IBk,Y,SBag,0.6037,0.7128,0.5955,0.5027,0.5188,0.2524,0.3142
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,CK,IBk,Y,SBag,0.6424,0.766,0.635,0.4028,0.5575,0.2722,0.3974
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,CK,IBk,Y,SBag,0.7545,0.8459,0.7421,0.5255,0.7024,0.4394,0.6067
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,CK,IBk,Y,SBag,0.7034,0.7782,0.6935,0.5259,0.6145,0.3901,0.4762
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,CK,IBk,Y,SBag,0.6501,0.7235,0.6426,0.3728,0.5555,0.253,0.389
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,CK,IBk,Y,SBag,0.6505,0.7706,0.6406,0.585,0.5712,0.3429,0.4146
Lucene,64,691,0.09261939218523878,9.796875,16~8,CK,IBk,Y,SBag,0.5028,0.6307,0.5171,0.2081,0.3545,0.1046,0.1763
Mylyn,245,1862,0.13157894736842105,6.6,8~4,CK,IBk,Y,SBag,0.6253,0.6975,0.6158,0.3429,0.5073,0.2225,0.3357
ant-1.3,20,125,0.16,5.25,8~4,CK,IBk,Y,UBst,0.668,0.7407,0.6653,0.4596,0.71,0.3666,0.6294
ant-1.4,40,178,0.2247191011235955,3.45,4~2,CK,IBk,Y,UBst,0.488,0.5316,0.4884,0.3396,0.5975,0.054,0.1283
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,CK,IBk,Y,UBst,0.6773,0.7773,0.6728,0.3564,0.6783,0.2856,0.5467
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,CK,IBk,Y,UBst,0.7457,0.8009,0.7386,0.6145,0.7342,0.4628,0.5931
camel-1.0,13,339,0.038348082595870206,25.076923076923077,64~16,CK,IBk,Y,UBst,0.377,0.7201,0.5052,0.115,0.41,0.0905,0.2659
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,CK,IBk,Y,UBst,0.5406,0.5859,0.5408,0.4784,0.5943,0.1111,0.1653
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,CK,IBk,Y,UBst,0.6315,0.6916,0.6285,0.3675,0.6316,0.2079,0.386
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,CK,IBk,Y,UBst,0.5936,0.6543,0.5917,0.3663,0.5997,0.1575,0.2879
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,CK,IBk,Y,UBst,0.7106,0.7889,0.6968,0.3805,0.705,0.3102,0.5821
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,CK,IBk,Y,UBst,0.7228,0.8087,0.7101,0.6434,0.7656,0.4469,0.6
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,CK,IBk,Y,UBst,0.6996,0.7727,0.6896,0.5446,0.6929,0.3778,0.526
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,CK,IBk,Y,UBst,0.7052,0.7651,0.6958,0.5607,0.6739,0.3948,0.5128
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,CK,IBk,Y,UBst,0.7291,0.8033,0.7142,0.4231,0.7505,0.348,0.6417
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,CK,IBk,Y,UBst,0.42,0.6656,0.4872,0.0597,0.575,0.0487,0.259
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,CK,IBk,Y,UBst,0.6968,0.8042,0.6902,0.5719,0.6917,0.4246,0.5635
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,CK,IBk,Y,UBst,0.5474,0.6194,0.5646,0.2719,0.51,0.1449,0.2639
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,CK,IBk,Y,UBst,0.5964,0.6974,0.6267,0.3252,0.665,0.2571,0.5068
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,CK,IBk,Y,UBst,0.6634,0.733,0.6561,0.5358,0.6617,0.3379,0.4574
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,CK,IBk,Y,UBst,0.6829,0.7459,0.6756,0.6002,0.6933,0.3746,0.4859
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,CK,IBk,Y,UBst,0.6095,0.6916,0.6014,0.5284,0.6379,0.2461,0.3501
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,CK,IBk,Y,UBst,0.6347,0.7333,0.6281,0.3854,0.6234,0.2469,0.4231
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,CK,IBk,Y,UBst,0.7131,0.7942,0.7051,0.4478,0.705,0.3434,0.5668
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,CK,IBk,Y,UBst,0.7032,0.7718,0.7,0.5025,0.6768,0.3517,0.5069
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,CK,IBk,Y,UBst,0.6555,0.7113,0.6537,0.3531,0.6364,0.2286,0.4287
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,CK,IBk,Y,UBst,0.6703,0.7699,0.6622,0.6253,0.6827,0.3559,0.4406
Lucene,64,691,0.09261939218523878,9.796875,16~8,CK,IBk,Y,UBst,0.5735,0.6217,0.5744,0.2225,0.5214,0.1235,0.2823
Mylyn,245,1862,0.13157894736842105,6.6,8~4,CK,IBk,Y,UBst,0.6349,0.69,0.6329,0.3161,0.646,0.19,0.404
ant-1.3,20,125,0.16,5.25,8~4,CK,IBk,Y,OBst,0.48,0.6324,0.5459,0.3377,0.425,0.2069,0.2938
ant-1.4,40,178,0.2247191011235955,3.45,4~2,CK,IBk,Y,OBst,0.498,0.5869,0.5169,0.3321,0.5075,0.0714,0.1359
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,CK,IBk,Y,OBst,0.5164,0.7257,0.56,0.3337,0.3983,0.259,0.3389
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,CK,IBk,Y,OBst,0.6882,0.7574,0.6809,0.548,0.6327,0.3707,0.4594
camel-1.0,13,339,0.038348082595870206,25.076923076923077,64~16,CK,IBk,Y,OBst,0.0397,0.5599,0.3155,0.0213,0.035,-0.0045,-0.0024
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,CK,IBk,Y,OBst,0.5486,0.5863,0.5479,0.4642,0.5437,0.11,0.143
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,CK,IBk,Y,OBst,0.5486,0.64,0.5434,0.3167,0.3971,0.1547,0.2011
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,CK,IBk,Y,OBst,0.5657,0.6337,0.5636,0.3407,0.477,0.1334,0.2007
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,CK,IBk,Y,OBst,0.56,0.7499,0.5781,0.3611,0.42,0.2808,0.3436
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,CK,IBk,Y,OBst,0.7067,0.7823,0.6988,0.6214,0.7122,0.4142,0.5272
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,CK,IBk,Y,OBst,0.6658,0.7337,0.6585,0.5079,0.6102,0.329,0.4243
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,CK,IBk,Y,OBst,0.675,0.7238,0.6678,0.5257,0.6316,0.3489,0.4597
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,CK,IBk,Y,OBst,0.5226,0.7231,0.5484,0.3138,0.3855,0.2072,0.2669
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,CK,IBk,Y,OBst,0.353,0.7848,0.5328,0.1974,0.355,0.2018,0.3312
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,CK,IBk,Y,OBst,0.6488,0.7575,0.6524,0.5192,0.6125,0.3566,0.4755
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,CK,IBk,Y,OBst,0.4609,0.6681,0.5072,0.2816,0.3183,0.1882,0.2367
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,CK,IBk,Y,OBst,0.236,0.6569,0.4236,0.1467,0.215,0.0573,0.0897
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,CK,IBk,Y,OBst,0.66,0.7367,0.6531,0.5211,0.6367,0.3189,0.4297
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,CK,IBk,Y,OBst,0.6186,0.6872,0.6139,0.5281,0.6265,0.2453,0.3252
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,CK,IBk,Y,OBst,0.64,0.6981,0.6336,0.5565,0.6516,0.2971,0.3987
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,CK,IBk,Y,OBst,0.6391,0.7337,0.6346,0.4012,0.562,0.2711,0.4033
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,CK,IBk,Y,OBst,0.6398,0.7765,0.6249,0.4393,0.4929,0.3424,0.427
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,CK,IBk,Y,OBst,0.6566,0.7294,0.6457,0.4702,0.5463,0.3168,0.3843
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,CK,IBk,Y,OBst,0.5695,0.6744,0.555,0.3273,0.3937,0.2029,0.2497
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,CK,IBk,Y,OBst,0.6723,0.7625,0.6659,0.6175,0.6406,0.3627,0.4257
Lucene,64,691,0.09261939218523878,9.796875,16~8,CK,IBk,Y,OBst,0.3663,0.6131,0.4285,0.1777,0.1995,0.0895,0.1069
Mylyn,245,1862,0.13157894736842105,6.6,8~4,CK,IBk,Y,OBst,0.5715,0.6647,0.5612,0.3009,0.4161,0.1709,0.2411
ant-1.3,20,125,0.16,5.25,8~4,CK,IBk,Y,UOBst,0.6397,0.7025,0.6387,0.4264,0.685,0.3135,0.5454
ant-1.4,40,178,0.2247191011235955,3.45,4~2,CK,IBk,Y,UOBst,0.5051,0.5661,0.5086,0.3519,0.6,0.0822,0.1846
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,CK,IBk,Y,UOBst,0.6566,0.7585,0.6613,0.3754,0.6,0.3022,0.4865
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,CK,IBk,Y,UOBst,0.7039,0.7733,0.6954,0.5624,0.7136,0.3828,0.5308
camel-1.0,13,339,0.038348082595870206,25.076923076923077,64~16,CK,IBk,Y,UOBst,0.0625,0.609,0.3279,0.032,0.055,-0.0056,-0.0052
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,CK,IBk,Y,UOBst,0.5425,0.5812,0.5413,0.4611,0.5456,0.1,0.1326
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,CK,IBk,Y,UOBst,0.6303,0.6782,0.6272,0.3648,0.65,0.2022,0.39
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,CK,IBk,Y,UOBst,0.5958,0.6496,0.5918,0.3709,0.6474,0.1634,0.3283
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,CK,IBk,Y,UOBst,0.6942,0.7586,0.6816,0.3876,0.635,0.3117,0.5163
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,CK,IBk,Y,UOBst,0.7004,0.7715,0.6917,0.619,0.7433,0.4015,0.5374
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,CK,IBk,Y,UOBst,0.6948,0.7593,0.6854,0.5347,0.7132,0.3571,0.5217
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,CK,IBk,Y,UOBst,0.6729,0.7506,0.665,0.5172,0.6759,0.3252,0.471
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,CK,IBk,Y,UOBst,0.6789,0.7715,0.6709,0.3953,0.626,0.2983,0.4844
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,CK,IBk,Y,UOBst,0.4264,0.8482,0.5808,0.2269,0.43,0.2351,0.4002
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,CK,IBk,Y,UOBst,0.6964,0.7762,0.6793,0.5587,0.7108,0.4012,0.5745
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,CK,IBk,Y,UOBst,0.5682,0.6513,0.5819,0.2829,0.4983,0.1635,0.2904
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,CK,IBk,Y,UOBst,0.4806,0.6758,0.5665,0.2553,0.525,0.1795,0.3911
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,CK,IBk,Y,UOBst,0.6716,0.7471,0.6593,0.5361,0.6983,0.3411,0.5092
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,CK,IBk,Y,UOBst,0.6432,0.7028,0.6363,0.5578,0.6585,0.299,0.3995
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,CK,IBk,Y,UOBst,0.6242,0.6906,0.6182,0.5412,0.6514,0.2648,0.3658
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,CK,IBk,Y,UOBst,0.6523,0.7399,0.6457,0.3965,0.6339,0.2619,0.4472
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,CK,IBk,Y,UOBst,0.7185,0.7966,0.7101,0.4666,0.6829,0.3661,0.5587
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,CK,IBk,Y,UOBst,0.678,0.7494,0.675,0.4701,0.6695,0.3042,0.47
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,CK,IBk,Y,UOBst,0.6516,0.7057,0.6493,0.3524,0.6172,0.2272,0.415
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,CK,IBk,Y,UOBst,0.6653,0.7591,0.6596,0.6128,0.6513,0.3453,0.4097
Lucene,64,691,0.09261939218523878,9.796875,16~8,CK,IBk,Y,UOBst,0.4833,0.6118,0.506,0.1964,0.344,0.0877,0.1517
Mylyn,245,1862,0.13157894736842105,6.6,8~4,CK,IBk,Y,UOBst,0.6323,0.6891,0.6308,0.3159,0.6212,0.1884,0.3839
ant-1.3,20,125,0.16,5.25,8~4,CK,IBk,Y,SBst,0.474,0.6952,0.5519,0.3642,0.405,0.2675,0.3478
ant-1.4,40,178,0.2247191011235955,3.45,4~2,CK,IBk,Y,SBst,0.3729,0.6049,0.4569,0.2636,0.2675,0.078,0.0832
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,CK,IBk,Y,SBst,0.529,0.7636,0.5559,0.3656,0.3825,0.3041,0.3847
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,CK,IBk,Y,SBst,0.6949,0.7932,0.6775,0.5794,0.5732,0.4445,0.5119
camel-1.0,13,339,0.038348082595870206,25.076923076923077,64~16,CK,IBk,Y,SBst,0.1623,0.6846,0.3987,0.1143,0.155,0.0938,0.1246
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,CK,IBk,Y,SBst,0.4732,0.5932,0.4756,0.3454,0.2927,0.0929,0.1261
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,CK,IBk,Y,SBst,0.358,0.6782,0.4042,0.2134,0.16,0.1403,0.2251
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,CK,IBk,Y,SBst,0.3679,0.6501,0.404,0.2163,0.1606,0.1271,0.2081
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,CK,IBk,Y,SBst,0.4955,0.7382,0.5315,0.331,0.3475,0.2555,0.3147
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,CK,IBk,Y,SBst,0.6836,0.8022,0.6734,0.5927,0.6089,0.4035,0.4808
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,CK,IBk,Y,SBst,0.6632,0.7814,0.6456,0.5319,0.533,0.396,0.4794
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,CK,IBk,Y,SBst,0.6648,0.7778,0.6506,0.5396,0.5361,0.4019,0.4686
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,CK,IBk,Y,SBst,0.5019,0.7593,0.5169,0.3114,0.33,0.2154,0.264
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,CK,IBk,Y,SBst,0.056,0.8037,0.3303,0.0333,0.055,0.0237,0.0396
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,CK,IBk,Y,SBst,0.6491,0.7956,0.6488,0.5434,0.5525,0.4229,0.5446
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,CK,IBk,Y,SBst,0.3461,0.6946,0.4411,0.2348,0.2142,0.1679,0.2237
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,CK,IBk,Y,SBst,0.2958,0.7454,0.4628,0.2203,0.26,0.151,0.2069
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,CK,IBk,Y,SBst,0.6535,0.7633,0.6386,0.5391,0.5267,0.3931,0.4828
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,CK,IBk,Y,SBst,0.6449,0.7284,0.6363,0.5518,0.5465,0.3476,0.4152
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,CK,IBk,Y,SBst,0.6183,0.7292,0.6063,0.5197,0.5109,0.3064,0.3894
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,CK,IBk,Y,SBst,0.4454,0.7595,0.4635,0.303,0.2452,0.2348,0.3452
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,CK,IBk,Y,SBst,0.5918,0.819,0.573,0.4349,0.4031,0.3621,0.4483
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,CK,IBk,Y,SBst,0.5981,0.7594,0.5666,0.4704,0.3917,0.3862,0.5082
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,CK,IBk,Y,SBst,0.3859,0.6808,0.4085,0.2208,0.1652,0.1582,0.2425
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,CK,IBk,Y,SBst,0.6471,0.7711,0.6372,0.5807,0.5614,0.3348,0.3997
Lucene,64,691,0.09261939218523878,9.796875,16~8,CK,IBk,Y,SBst,0.2668,0.6492,0.3824,0.1706,0.1274,0.1474,0.2548
Mylyn,245,1862,0.13157894736842105,6.6,8~4,CK,IBk,Y,SBst,0.3341,0.653,0.3829,0.1852,0.1282,0.1471,0.2587
ant-1.3,20,125,0.16,5.25,8~4,CK,LR,N,none,0.3138,0.7942,0.4631,0.2604,0.255,0.2029,0.2623
ant-1.4,40,178,0.2247191011235955,3.45,4~2,CK,LR,N,none,0,0.382,0.2927,0,0,-0.0038,-0.0057
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,CK,LR,N,none,0.2562,0.8332,0.4062,0.2076,0.1608,0.1936,0.2938
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,CK,LR,N,none,0.657,0.8357,0.6244,0.564,0.4758,0.4757,0.6342
camel-1.0,13,339,0.038348082595870206,25.076923076923077,64~16,CK,LR,N,none,0.0139,0.7203,0.2999,0.01,0.01,0.0047,0.0045
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,CK,LR,N,none,0.1614,0.5264,0.3243,0.079,0.0451,0.0744,0.3269
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,CK,LR,N,none,0.1562,0.6983,0.3257,0.0781,0.0468,0.0614,0.1815
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,CK,LR,N,none,0.2354,0.6571,0.3469,0.1301,0.0766,0.1441,0.4237
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,CK,LR,N,none,0.3167,0.8033,0.4233,0.2494,0.185,0.2441,0.4017
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,CK,LR,N,none,0.6969,0.8289,0.6713,0.6219,0.5544,0.4964,0.6305
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,CK,LR,N,none,0.5181,0.7458,0.5165,0.4157,0.3207,0.3597,0.588
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,CK,LR,N,none,0.6234,0.808,0.593,0.5247,0.4304,0.4529,0.6503
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,CK,LR,N,none,0.4271,0.8393,0.4785,0.3419,0.2635,0.335,0.5269
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,CK,LR,N,none,0,0.6325,0.2929,0,0,-0.0025,-0.0027
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,CK,LR,N,none,0.6388,0.8554,0.6426,0.5725,0.5067,0.5181,0.6902
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,CK,LR,N,none,0.1829,0.6976,0.364,0.1446,0.1008,0.1465,0.2625
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,CK,LR,N,none,0.1159,0.8098,0.3582,0.1013,0.095,0.0936,0.1243
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,CK,LR,N,none,0.4128,0.7326,0.4549,0.3168,0.235,0.2632,0.5031
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,CK,LR,N,none,0.5808,0.7724,0.5623,0.485,0.3949,0.3607,0.5482
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,CK,LR,N,none,0.3952,0.6875,0.4398,0.2935,0.2154,0.185,0.352
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,CK,LR,N,none,0,0.4959,0.2928,0,0,-0.0079,-0.0211
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,CK,LR,N,none,0.2558,0.7188,0.3681,0.1648,0.1069,0.1614,0.3652
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,CK,LR,N,none,0.5203,0.775,0.4965,0.4053,0.2888,0.3822,0.6626
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,CK,LR,N,none,0.2801,0.7199,0.3588,0.1562,0.0934,0.1886,0.532
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,CK,LR,N,none,0.6482,0.7985,0.6275,0.5773,0.5017,0.4001,0.5362
Lucene,64,691,0.09261939218523878,9.796875,16~8,CK,LR,N,none,0.1922,0.6794,0.3533,0.1351,0.0855,0.1518,0.3392
Mylyn,245,1862,0.13157894736842105,6.6,8~4,CK,LR,N,none,0.2441,0.6958,0.3459,0.1286,0.075,0.1626,0.488
ant-1.3,20,125,0.16,5.25,8~4,CK,LR,Y,Bag,0.3118,0.8241,0.4545,0.2631,0.24,0.2093,0.2823
ant-1.4,40,178,0.2247191011235955,3.45,4~2,CK,LR,Y,Bag,0,0.4835,0.2929,0,0,0,0
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,CK,LR,Y,Bag,0.3343,0.8398,0.4428,0.2789,0.2125,0.2789,0.4314
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,CK,LR,Y,Bag,0.6533,0.8403,0.6246,0.5612,0.4766,0.4712,0.624
camel-1.0,13,339,0.038348082595870206,25.076923076923077,64~16,CK,LR,Y,Bag,0.017,0.785,0.3034,0.015,0.015,0.0093,0.0085
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,CK,LR,Y,Bag,0.2416,0.56,0.3457,0.1303,0.0756,0.1061,0.3783
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,CK,LR,Y,Bag,0.1586,0.7006,0.3277,0.0822,0.0496,0.0731,0.2143
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,CK,LR,Y,Bag,0.2426,0.6579,0.3491,0.1352,0.0798,0.1515,0.4562
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,CK,LR,Y,Bag,0.3308,0.8181,0.4285,0.2577,0.1925,0.2507,0.4159
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,CK,LR,Y,Bag,0.6921,0.8281,0.6661,0.6156,0.5478,0.49,0.6279
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,CK,LR,Y,Bag,0.5145,0.7621,0.5062,0.4052,0.3059,0.3494,0.5947
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,CK,LR,Y,Bag,0.6303,0.8193,0.5992,0.5336,0.4391,0.466,0.6705
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,CK,LR,Y,Bag,0.4268,0.8412,0.4788,0.3404,0.264,0.334,0.527
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,CK,LR,Y,Bag,0,0.621,0.2929,0,0,-0.0018,-0.0021
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,CK,LR,Y,Bag,0.6491,0.8536,0.6528,0.5866,0.5208,0.5327,0.6986
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,CK,LR,Y,Bag,0.1906,0.7201,0.3657,0.148,0.1033,0.1493,0.2717
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,CK,LR,Y,Bag,0.1407,0.803,0.3728,0.128,0.115,0.1174,0.1535
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,CK,LR,Y,Bag,0.412,0.7423,0.4488,0.312,0.225,0.2632,0.5189
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,CK,LR,Y,Bag,0.5832,0.7726,0.5638,0.4851,0.3964,0.3585,0.5351
