Dataset,DefectNum,ModuleNum,DefectRate,ImbLevel,ImbGroup,Metrics,Classifier,ImbLearner,ImbLearnerType,Gmean,AUC,Bal,F1,Recall,MCC,SLoe
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,CK,C4.5,Y,Bag,0.1619,0.7763,0.3527,0.1189,0.085,0.1102,0.1989
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,CK,C4.5,Y,Bag,0.6843,0.8002,0.6688,0.5984,0.5722,0.4378,0.5267
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,CK,C4.5,Y,Bag,0.598,0.774,0.5824,0.4739,0.4282,0.3581,0.4791
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,CK,C4.5,Y,Bag,0.6402,0.783,0.616,0.531,0.4695,0.4316,0.5649
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,CK,C4.5,Y,Bag,0.3091,0.8196,0.4164,0.2205,0.1765,0.1925,0.3024
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,CK,C4.5,Y,Bag,0,0.5561,0.2929,0,0,0,0
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,CK,C4.5,Y,Bag,0.6226,0.7906,0.621,0.5371,0.48,0.4589,0.6256
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,CK,C4.5,Y,Bag,0.1042,0.6486,0.3316,0.0825,0.055,0.0803,0.1548
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,CK,C4.5,Y,Bag,0.0136,0.7811,0.2996,0.01,0.01,-0.0018,-0.005
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,CK,C4.5,Y,Bag,0.594,0.7531,0.5835,0.4877,0.4283,0.3803,0.5308
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,CK,C4.5,Y,Bag,0.6436,0.7763,0.6269,0.5507,0.5131,0.3804,0.4874
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,CK,C4.5,Y,Bag,0.5308,0.7047,0.5267,0.4234,0.3541,0.266,0.4143
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,CK,C4.5,Y,Bag,0.0949,0.7578,0.3204,0.0605,0.0395,0.0392,0.0887
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,CK,C4.5,Y,Bag,0.5365,0.8151,0.5197,0.4094,0.3226,0.3838,0.5953
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,CK,C4.5,Y,Bag,0.6311,0.7769,0.5934,0.52,0.4279,0.4531,0.6056
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,CK,C4.5,Y,Bag,0.1988,0.7168,0.3355,0.1015,0.0605,0.1175,0.3508
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,CK,C4.5,Y,Bag,0.6616,0.7884,0.6445,0.5975,0.5546,0.3917,0.5015
Lucene,64,691,0.09261939218523878,9.796875,16~8,CK,C4.5,Y,Bag,0.0904,0.6565,0.3181,0.0599,0.0357,0.0699,0.1776
Mylyn,245,1862,0.13157894736842105,6.6,8~4,CK,C4.5,Y,Bag,0.1136,0.6988,0.3133,0.0503,0.029,0.0623,0.2212
ant-1.3,20,125,0.16,5.25,8~4,CK,C4.5,Y,Bst,0.3802,0.6966,0.4999,0.3094,0.315,0.2265,0.2843
ant-1.4,40,178,0.2247191011235955,3.45,4~2,CK,C4.5,Y,Bst,0.1305,0.6038,0.3477,0.0938,0.085,0.0116,0.0013
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,CK,C4.5,Y,Bst,0.4228,0.7234,0.4968,0.3124,0.2925,0.2585,0.318
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,CK,C4.5,Y,Bst,0.6633,0.7807,0.6473,0.5463,0.5307,0.4075,0.4784
camel-1.0,13,339,0.038348082595870206,25.076923076923077,64~16,CK,C4.5,Y,Bst,0.0198,0.5864,0.3064,0.0167,0.02,-0.0054,-0.0073
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,CK,C4.5,Y,Bst,0.3394,0.5508,0.3998,0.2216,0.1693,0.0635,0.1503
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,CK,C4.5,Y,Bst,0.4367,0.6423,0.4483,0.2637,0.2264,0.1611,0.2153
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,CK,C4.5,Y,Bst,0.3982,0.6316,0.423,0.2315,0.1918,0.1161,0.1701
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,CK,C4.5,Y,Bst,0.3685,0.707,0.4551,0.2495,0.235,0.1904,0.2637
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,CK,C4.5,Y,Bst,0.654,0.7737,0.6415,0.5579,0.5556,0.3678,0.4548
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,CK,C4.5,Y,Bst,0.6038,0.7473,0.5933,0.4679,0.4559,0.3283,0.4104
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,CK,C4.5,Y,Bst,0.6262,0.7543,0.6145,0.4977,0.487,0.3615,0.4563
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,CK,C4.5,Y,Bst,0.408,0.7299,0.4677,0.2618,0.2545,0.1846,0.2334
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,CK,C4.5,Y,Bst,0.0098,0.7169,0.2996,0.005,0.01,0.0005,0.0043
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,CK,C4.5,Y,Bst,0.6283,0.8,0.6391,0.5237,0.5358,0.4061,0.5083
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,CK,C4.5,Y,Bst,0.3702,0.6868,0.4577,0.2733,0.2358,0.2287,0.3247
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,CK,C4.5,Y,Bst,0.2148,0.6555,0.4182,0.1643,0.19,0.1111,0.147
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,CK,C4.5,Y,Bst,0.5846,0.7321,0.5831,0.471,0.4367,0.3326,0.4296
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,CK,C4.5,Y,Bst,0.626,0.7283,0.6135,0.5268,0.5038,0.3301,0.4064
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,CK,C4.5,Y,Bst,0.5369,0.6754,0.537,0.4302,0.4,0.2163,0.3021
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,CK,C4.5,Y,Bst,0.4319,0.751,0.462,0.2981,0.243,0.236,0.3504
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,CK,C4.5,Y,Bst,0.5542,0.7735,0.5476,0.4015,0.3667,0.3326,0.4313
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,CK,C4.5,Y,Bst,0.626,0.7553,0.5984,0.4855,0.441,0.3797,0.4439
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,CK,C4.5,Y,Bst,0.4246,0.671,0.4379,0.2505,0.2085,0.1707,0.2244
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,CK,C4.5,Y,Bst,0.6636,0.773,0.6501,0.6027,0.5853,0.3813,0.4766
Lucene,64,691,0.09261939218523878,9.796875,16~8,CK,C4.5,Y,Bst,0.2879,0.6195,0.3871,0.1723,0.1345,0.1384,0.2297
Mylyn,245,1862,0.13157894736842105,6.6,8~4,CK,C4.5,Y,Bst,0.4104,0.6821,0.4251,0.2364,0.1895,0.1695,0.2449
ant-1.3,20,125,0.16,5.25,8~4,CK,C4.5,Y,US,0.6131,0.6987,0.6267,0.4175,0.665,0.3196,0.574
